TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
8.327754,"2020-02-01 07:51:57.919",上海,待明确地区,0,0,4,0,,,,,0,,0,,0.4444444,0,,,,1.333333,0,,0,,0,,0.0001402967,0,
8.584175,"2020-02-01 14:01:12.718",上海,待明确地区,0,0,4,0,,,,,0,,0,,0.4,0,,,,1.333333,0,,0,,0,,0.0001402967,0,
8.584985,"2020-02-01 14:02:22.706",上海,待明确地区,0,0,4,0,,,,,0,,0,,0.4,0,,,,1.333333,0,,0,,0,,0.0001402967,0,
8.587144,"2020-02-01 14:05:29.264",上海,待明确地区,0,0,5,0,,,,,0,,0,,0.5,0,,,,1.666667,0,,0,,0,,0.0001753709,0,
8.672964,"2020-02-01 16:09:04.135",上海,待明确地区,0,0,5,0,,,,,0,,0,,0.5,0,,,,1.666667,0,,0,,0,,0.0001753709,0,
9.344254,"2020-02-02 08:15:43.465",上海,待明确地区,0,0,5,0,,,,,0,,0,,0.5,0,,,,1.666667,0,,0,,0,,0.0001753709,0,
11.34231,"2020-02-04 08:12:55.240",上海,待明确地区,0,0,5,0,,,,,0,,0,,0.5,0,,,,1.666667,0,,0,,0,,0.0001753709,0,
11.51074,"2020-02-04 12:15:28.131",上海,待明确地区,0,0,6,0,,,,,0,,0,,0.5,0,,,,2,0,,0,,0,,0.0002104451,0,
11.59887,"2020-02-04 14:22:22.605",上海,待明确地区,0,0,6,0,,,,,0,,0,,0.5,0,,,,2,0,,0,,0,,0.0002104451,0,
11.59963,"2020-02-04 14:23:27.710",上海,待明确地区,0,0,6,0,,,,,0,,0,,0.5,0,,,,2,0,,0,,0,,0.0002104451,0,
11.85116,"2020-02-04 20:25:40.282",上海,待明确地区,0,0,6,0,,,,,0,,0,,0.5,0,,,,2,0,,0,,0,,0.0002104451,0,
12.34368,"2020-02-05 08:14:53.551",上海,待明确地区,0,0,6,0,,,,,0,,0,,0.5,0,,,,2,0,,0,,0,,0.0002104451,0,
