TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
5.449459,"2020-01-29 10:47:13.205",内蒙古,巴彦淖尔,1,0,0,0,1,0,0,1,,,0.0625,,,,0.0625,0.125,,0,0,0.125,,,2.003526E-05,,0,0,2.631094E-05
6.513727,"2020-01-30 12:19:46.027",内蒙古,巴彦淖尔,1,0,0,0,1,0,0,1,,,0.05555556,,,,0.05555556,0.125,,0,0,0.125,,,2.003526E-05,,0,0,2.631094E-05
6.514427,"2020-01-30 12:20:46.457",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1111111,,,,0.1111111,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
7.003637,"2020-01-31 00:05:14.266",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1052632,,,,0.1052632,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
7.005037,"2020-01-31 00:07:15.169",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1052632,,,,0.1052632,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
7.456152,"2020-01-31 10:56:51.558",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1052632,,,,0.1052632,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
7.461567,"2020-01-31 11:04:39.362",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1,,,,0.1,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
7.692583,"2020-01-31 16:37:19.154",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1,,,,0.1,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
7.828611,"2020-01-31 19:53:11.973",内蒙古,巴彦淖尔,2,0,0,0,2,0,0,1,,,0.1,,0,,0.1052632,0.25,,0,0,0.25,,,4.007052E-05,,0,0,5.262189E-05
8.470955,"2020-02-01 11:18:10.536",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.1304348,,0,,0.1363636,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
9.478519,"2020-02-02 11:29:04.074",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.1304348,,0,,0.1363636,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
9.479285,"2020-02-02 11:30:10.213",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.1304348,,0,,0.1363636,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
9.485378,"2020-02-02 11:38:56.705",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.1111111,,0,,0.1153846,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
10.45375,"2020-02-03 10:53:23.956",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.0882353,,0,,0.09090909,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
11.45414,"2020-02-04 10:53:57.931",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.08571429,,0,,0.0882353,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
12.4044,"2020-02-05 09:42:20.195",内蒙古,巴彦淖尔,3,0,0,0,3,0,0,1,,,0.08571429,,0,,0.0882353,0.375,,0,0,0.375,,,6.010579E-05,,0,0,7.893283E-05
12.40517,"2020-02-05 09:43:26.734",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.0952381,,0,,0.09756097,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
12.69193,"2020-02-05 16:36:22.430",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.0952381,,0,,0.09756097,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
12.69721,"2020-02-05 16:43:59.304",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.0952381,,0,,0.1025641,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
13.42979,"2020-02-06 10:18:53.531",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.08695652,,0,,0.09302326,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
13.43049,"2020-02-06 10:19:54.126",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.08695652,,0,,0.0952381,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
14.40993,"2020-02-07 09:50:17.930",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.08695652,,0,,0.0952381,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
14.41063,"2020-02-07 09:51:18.738",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.08,,0,,0.08695652,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
14.7976,"2020-02-07 19:08:32.414",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.08,,0,,0.08888889,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
15.47787,"2020-02-08 11:28:08.331",内蒙古,巴彦淖尔,4,0,0,0,4,0,0,1,,,0.07692308,,0,,0.08510638,0.5,,0,0,0.5,,,8.014105E-05,,0,0,0.0001052438
16.43266,"2020-02-09 10:23:01.835",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.1111111,,0,,0.122449,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
17.44217,"2020-02-10 10:36:43.800",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.1034483,,0,,0.1132075,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
17.47741,"2020-02-10 11:27:27.860",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.1034483,,0,,0.1132075,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
19.40819,"2020-02-12 09:47:47.671",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.1,,0,,0.1090909,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
19.79744,"2020-02-12 19:08:19.159",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.1,,0,,0.1111111,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
20.01333,"2020-02-13 00:19:12.057",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.1,,0,,0.1111111,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
20.38801,"2020-02-13 09:18:43.736",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.09836066,,0,,0.1090909,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
20.86043,"2020-02-13 20:39:00.939",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.09836066,,0,,0.1090909,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
21.41602,"2020-02-14 09:59:03.947",内蒙古,巴彦淖尔,6,0,0,0,6,0,0,1,,,0.09230769,,0,,0.1016949,0.75,,0,0,0.75,,,0.0001202116,,0,0,0.0001578657
22.41264,"2020-02-15 09:54:12.156",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1176471,,0,,0.1290323,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
22.9215,"2020-02-15 22:06:57.531",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1176471,,0,,0.1311475,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
23.47989,"2020-02-16 11:31:02.160",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1142857,,0,,0.1269841,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
23.68297,"2020-02-16 16:23:28.598",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1142857,,0,,0.1290323,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
24.41318,"2020-02-17 09:54:58.802",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1111111,,0,,0.125,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
25.41425,"2020-02-18 09:56:30.884",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.109589,,0,,0.1230769,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
26.40515,"2020-02-19 09:43:25.248",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1081081,,0,,0.1212121,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
26.40587,"2020-02-19 09:44:26.996",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.1212121,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
26.7919,"2020-02-19 19:00:19.886",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.1230769,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
27.35522,"2020-02-20 08:31:30.940",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.125,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
27.57904,"2020-02-20 13:53:48.973",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.1269841,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
27.73781,"2020-02-20 17:42:26.562",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.1311475,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
27.81686,"2020-02-20 19:36:16.516",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.1333333,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
27.86506,"2020-02-20 20:45:40.794",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.1355932,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
28.66698,"2020-02-21 16:00:27.021",内蒙古,巴彦淖尔,8,0,0,0,8,0,0,1,,,0.1066667,,0,,0.137931,1,,0,0,1,,,0.0001602821,,0,0,0.0002104875
29.36366,"2020-02-22 08:43:40.015",内蒙古,巴彦淖尔,8,0,3,0,5,0.375,0,0.625,0,,0.1066667,,0.1363636,,0.09433962,1,,0.4285714,0,0.625,0,,0.0001602821,,0.0001007726,0,0.0001315547
