TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.4389236,"2020-01-24 10:32:03",吉林,吉林,1,0,0,0,1,0,0,1,,,0.3333333,,,,0.3333333,0.2,,0,,0.2,,,1.9998E-05,,0,0,2.631094E-05
0.4396181,"2020-01-24 10:33:03",吉林,吉林,1,0,0,0,1,0,0,1,,,0.3333333,,,,0.3333333,0.2,,0,,0.2,,,1.9998E-05,,0,0,2.631094E-05
1.413056,"2020-01-25 09:54:48",吉林,吉林,1,0,0,0,1,0,0,1,,,0.25,,,,0.25,0.2,,0,,0.2,,,1.9998E-05,,0,0,2.631094E-05
1.476852,"2020-01-25 11:26:40",吉林,吉林,2,0,0,0,2,0,0,1,,,0.5,,,,0.5,0.4,,0,,0.4,,,3.9996E-05,,0,0,5.262189E-05
3.384074,"2020-01-27 09:13:04",吉林,吉林,2,0,0,0,2,0,0,1,,,0.3333333,,,,0.3333333,0.4,,0,,0.4,,,3.9996E-05,,0,0,5.262189E-05
4.655197,"2020-01-28 15:43:29",吉林,吉林,3,0,0,0,3,0,0,1,,,0.375,,,,0.375,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
5.385752,"2020-01-29 09:15:29",吉林,吉林,3,0,0,0,3,0,0,1,,,0.3333333,,,,0.3333333,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
6.386991,"2020-01-30 09:17:16",吉林,吉林,3,0,0,0,3,0,0,1,,,0.2142857,,,,0.2142857,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
6.412199,"2020-01-30 09:53:34",吉林,吉林,3,0,0,0,3,0,0,1,,,0.2142857,,0,,0.2307692,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
7.570984,"2020-01-31 13:42:13",吉林,吉林,3,0,0,0,3,0,0,1,,,0.2142857,,0,,0.2307692,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
8.402327,"2020-02-01 09:39:21",吉林,吉林,3,0,0,0,3,0,0,1,,,0.1764706,,0,,0.1875,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
8.672963,"2020-02-01 16:09:04",吉林,吉林,3,0,0,0,3,0,0,1,,,0.1764706,,0,,0.1875,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
8.770312,"2020-02-01 18:29:15",吉林,吉林,3,0,0,0,3,0,0,1,,,0.1764706,,0,,0.1875,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
8.873125,"2020-02-01 20:57:18",吉林,吉林,3,0,0,0,3,0,0,1,,,0.1764706,,0,,0.1875,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
9.40603,"2020-02-02 09:44:41",吉林,吉林,3,0,0,0,3,0,0,1,,,0.1363636,,0,,0.2,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
9.437315,"2020-02-02 10:29:44",吉林,吉林,3,0,0,0,3,0,0,1,,,0.1304348,,0,,0.1363636,0.6,,0,,0.6,,,5.9994E-05,,0,0,7.893283E-05
10.39484,"2020-02-03 09:28:34",吉林,吉林,4,0,0,0,4,0,0,1,,,0.1290323,,0,,0.1333333,0.8,,0,,0.8,,,7.9992E-05,,0,0,0.0001052438
11.34906,"2020-02-04 08:22:39",吉林,吉林,5,0,0,0,5,0,0,1,,,0.1190476,,0,,0.1219512,1,,0,,1,,,9.999E-05,,0,0,0.0001315547
11.47254,"2020-02-04 11:20:27",吉林,吉林,5,0,0,0,5,0,0,1,,,0.1190476,,0,,0.1219512,1,,0,,1,,,9.999E-05,,0,0,0.0001315547
12.35878,"2020-02-05 08:36:39",吉林,吉林,5,0,0,0,5,0,0,1,,,0.09259259,,0,,0.09433962,1,,0,,1,,,9.999E-05,,0,0,0.0001315547
12.6911,"2020-02-05 16:35:11",吉林,吉林,5,0,0,0,5,0,0,1,,,0.09259259,,0,,0.09803922,1,,0,,1,,,9.999E-05,,0,0,0.0001315547
12.79252,"2020-02-05 19:01:14",吉林,吉林,5,0,1,0,4,0.2,0,0.8,0,,0.09259259,,0.5,,0.07692308,1,,0.2,,0.8,,,9.999E-05,,2.361052E-05,0,0.0001052438
13.48743,"2020-02-06 11:41:54",吉林,吉林,5,0,1,0,4,0.2,0,0.8,0,,0.08474576,,0.5,,0.07017544,1,,0.2,,0.8,,,9.999E-05,,2.361052E-05,0,0.0001052438
13.678,"2020-02-06 16:16:19",吉林,吉林,5,0,2,0,3,0.4,0,0.6,0,,0.08474576,,0.6666667,,0.05357143,1,,0.4,,0.6,,,9.999E-05,,4.722104E-05,0,7.893283E-05
13.92981,"2020-02-06 22:18:56",吉林,吉林,5,0,2,0,3,0.4,0,0.6,0,,0.08474576,,0.5,,0.05454545,1,,0.4,,0.6,,,9.999E-05,,4.722104E-05,0,7.893283E-05
14.35862,"2020-02-07 08:36:25",吉林,吉林,5,0,2,0,3,0.4,0,0.6,0,,0.07692308,,0.5,0,0.05,1,,0.4,,0.6,,,9.999E-05,,4.722104E-05,0,7.893283E-05
15.33916,"2020-02-08 08:08:23",吉林,吉林,5,0,2,0,3,0.4,0,0.6,0,,0.07246377,,0.5,0,0.046875,1,,0.4,,0.6,,,9.999E-05,,4.722104E-05,0,7.893283E-05
