TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
6.386991,"2020-01-30 09:17:16",吉林,延边,2,0,0,0,2,0,0,1,,,0.1428571,,,,0.1428571,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
6.412199,"2020-01-30 09:53:34",吉林,延边,2,0,0,0,2,0,0,1,,,0.1428571,,0,,0.1538462,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
7.570984,"2020-01-31 13:42:13",吉林,延边,2,0,0,0,2,0,0,1,,,0.1428571,,0,,0.1538462,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
8.402327,"2020-02-01 09:39:21",吉林,延边,2,0,0,0,2,0,0,1,,,0.1176471,,0,,0.125,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
8.672963,"2020-02-01 16:09:04",吉林,延边,2,0,0,0,2,0,0,1,,,0.1176471,,0,,0.125,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
8.770312,"2020-02-01 18:29:15",吉林,延边,2,0,0,0,2,0,0,1,,,0.1176471,,0,,0.125,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
8.873125,"2020-02-01 20:57:18",吉林,延边,2,0,0,0,2,0,0,1,,,0.1176471,,0,,0.125,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
9.40603,"2020-02-02 09:44:41",吉林,延边,2,0,1,0,1,0.5,0,0.5,0,,0.09090909,,0.1428571,,0.06666667,0.2857143,0,0.2,,0.2,,,3.99944E-05,0,2.165674E-05,0,2.631094E-05
9.437315,"2020-02-02 10:29:44",吉林,延边,2,0,0,0,2,0,0,1,,,0.08695652,,0,,0.09090909,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
10.39484,"2020-02-03 09:28:34",吉林,延边,2,0,0,0,2,0,0,1,,,0.06451613,,0,,0.06666667,0.2857143,0,0,,0.4,,,3.99944E-05,0,0,0,5.262189E-05
11.34906,"2020-02-04 08:22:39",吉林,延边,3,0,0,0,3,0,0,1,,,0.07142857,,0,,0.07317073,0.4285714,0,0,,0.6,,,5.99916E-05,0,0,0,7.893283E-05
11.47254,"2020-02-04 11:20:27",吉林,延边,3,0,0,0,3,0,0,1,,,0.07142857,,0,,0.07317073,0.4285714,0,0,,0.6,,,5.99916E-05,0,0,0,7.893283E-05
12.35878,"2020-02-05 08:36:39",吉林,延边,3,0,0,0,3,0,0,1,,,0.05555556,,0,,0.05660377,0.4285714,0,0,,0.6,,,5.99916E-05,0,0,0,7.893283E-05
