TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.160081,"2020-01-24 03:50:31",安徽,亳州,1,0,0,0,1,0,0,1,,,0.1111111,,,,0.1111111,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
0.3926736,"2020-01-24 09:25:27",安徽,亳州,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
0.4263079,"2020-01-24 10:13:53",安徽,亳州,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
0.4270023,"2020-01-24 10:14:53",安徽,亳州,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
0.4277083,"2020-01-24 10:15:54",安徽,亳州,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
0.4284143,"2020-01-24 10:16:55",安徽,亳州,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
0.9826736,"2020-01-24 23:35:03",安徽,亳州,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
1.411644,"2020-01-25 09:52:46",安徽,亳州,1,0,0,0,1,0,0,1,,,0.02564103,,,,0.02564103,0.009259259,,0,,0.01111111,,,1.99968E-05,0,0,0,2.631094E-05
1.457222,"2020-01-25 10:58:24",安徽,亳州,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.03703704,,0,,0.04444445,,,7.99872E-05,0,0,0,0.0001052438
1.457917,"2020-01-25 10:59:24",安徽,亳州,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.03703704,,0,,0.04444445,,,7.99872E-05,0,0,0,0.0001052438
1.458623,"2020-01-25 11:00:25",安徽,亳州,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.03703704,,0,,0.04444445,,,7.99872E-05,0,0,0,0.0001052438
1.459317,"2020-01-25 11:01:25",安徽,亳州,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.03703704,,0,,0.04444445,,,7.99872E-05,0,0,0,0.0001052438
2.361192,"2020-01-26 08:40:07",安徽,亳州,4,0,0,0,4,0,0,1,,,0.1333333,,,,0.1333333,0.03703704,,0,,0.04444445,,,7.99872E-05,0,0,0,0.0001052438
2.412315,"2020-01-26 09:53:44",安徽,亳州,6,0,0,0,6,0,0,1,,,0.1,,,,0.1,0.05555556,,0,,0.06666667,,,0.0001199808,0,0,0,0.0001578657
3.366563,"2020-01-27 08:47:51",安徽,亳州,6,0,0,0,6,0,0,1,,,0.08571429,,,,0.08571429,0.05555556,,0,,0.06666667,,,0.0001199808,0,0,0,0.0001578657
4.378438,"2020-01-28 09:04:57",安徽,亳州,8,0,0,0,8,0,0,1,,,0.0754717,,,,0.0754717,0.07407407,,0,,0.08888889,,,0.0001599744,0,0,0,0.0002104875
5.361273,"2020-01-29 08:40:14",安徽,亳州,15,0,0,0,15,0,0,1,,,0.09868421,,,,0.09868421,0.1388889,,0,,0.1666667,,,0.000299952,0,0,0,0.0003946642
5.527766,"2020-01-29 12:39:59",安徽,亳州,15,0,0,0,15,0,0,1,,,0.09677419,,,,0.09677419,0.1388889,,0,,0.1666667,,,0.000299952,0,0,0,0.0003946642
5.532662,"2020-01-29 12:47:02",安徽,亳州,15,0,0,0,15,0,0,1,,,0.09677419,,0,,0.09803922,0.1388889,,0,,0.1666667,,,0.000299952,0,0,0,0.0003946642
5.533357,"2020-01-29 12:48:02",安徽,亳州,15,0,1,0,14,0.06666667,0,0.9333333,0,,0.09677419,,0.5,,0.09150327,0.1388889,,0.009259259,,0.1555556,0,1,0.000299952,0,2.123819E-05,0,0.0003683532
5.567627,"2020-01-29 13:37:23",安徽,亳州,15,0,1,0,14,0.06666667,0,0.9333333,0,,0.09677419,,0.5,,0.09150327,0.1388889,,0.009259259,,0.1555556,0,1,0.000299952,0,2.123819E-05,0,0.0003683532
5.571123,"2020-01-29 13:42:25",安徽,亳州,15,0,1,0,14,0.06666667,0,0.9333333,0,,0.09868421,,0.5,,0.09333333,0.1388889,,0.009259259,,0.1555556,0,1,0.000299952,0,2.123819E-05,0,0.0003683532
6.371597,"2020-01-30 08:55:06",安徽,亳州,20,0,1,0,19,0.05,0,0.95,0,,0.1,,0.5,,0.0959596,0.1851852,,0.009259259,,0.2111111,0,1,0.000399936,0,2.123819E-05,0,0.0004999079
7.360926,"2020-01-31 08:39:44",安徽,亳州,20,0,1,0,19,0.05,0,0.95,0,,0.08438819,,0.3333333,,0.08119658,0.1851852,,0.009259259,,0.2111111,0,1,0.000399936,0,2.123819E-05,0,0.0004999079
8.386528,"2020-02-01 09:16:36",安徽,亳州,20,0,1,0,19,0.05,0,0.95,0,,0.08438819,,0.3333333,,0.08119658,0.1851852,,0.009259259,,0.2111111,0,1,0.000399936,0,2.123819E-05,0,0.0004999079
8.387234,"2020-02-01 09:17:37",安徽,亳州,25,0,1,0,24,0.04,0,0.96,0,,0.1054852,,0.3333333,,0.1025641,0.2314815,,0.009259259,,0.2666667,0,1,0.00049992,0,2.123819E-05,0,0.0006314626
8.387952,"2020-02-01 09:18:39",安徽,亳州,25,0,1,0,24,0.04,0,0.96,0,,0.1054852,,0.3333333,,0.1025641,0.2314815,,0.009259259,,0.2666667,0,1,0.00049992,0,2.123819E-05,0,0.0006314626
8.388669,"2020-02-01 09:19:41",安徽,亳州,25,0,1,0,24,0.04,0,0.96,0,,0.1054852,,0.3333333,,0.1025641,0.2314815,,0.009259259,,0.2666667,0,1,0.00049992,0,2.123819E-05,0,0.0006314626
8.392245,"2020-02-01 09:24:50",安徽,亳州,25,0,1,0,24,0.04,0,0.96,0,,0.08417509,,0.3333333,,0.08163265,0.2314815,,0.009259259,,0.2666667,0,1,0.00049992,0,2.123819E-05,0,0.0006314626
8.672963,"2020-02-01 16:09:04",安徽,亳州,25,0,1,0,24,0.04,0,0.96,0,,0.08417509,,0.3333333,,0.08163265,0.2314815,,0.009259259,,0.2666667,0,1,0.00049992,0,2.123819E-05,0,0.0006314626
8.80934,"2020-02-01 19:25:27",安徽,亳州,25,0,1,0,24,0.04,0,0.96,0,,0.08417509,,0.25,,0.08191127,0.2314815,,0.009259259,,0.2666667,0,1,0.00049992,0,2.123819E-05,0,0.0006314626
8.895938,"2020-02-01 21:30:09",安徽,亳州,25,0,2,0,23,0.08,0,0.92,0,,0.08417509,,0.4,,0.07876712,0.2314815,,0.01851852,,0.2555556,0,1,0.00049992,0,4.247637E-05,0,0.0006051517
9.395359,"2020-02-02 09:29:19",安徽,亳州,30,0,2,0,28,0.06666667,0,0.9333333,0,,0.0882353,,0.4,,0.08358209,0.2777778,,0.01851852,,0.3111111,0,1,0.000599904,0,4.247637E-05,0,0.0007367064
9.772361,"2020-02-02 18:32:12",安徽,亳州,30,0,2,0,28,0.06666667,0,0.9333333,0,,0.0882353,,0.3333333,,0.08383234,0.2777778,,0.01851852,,0.3111111,0,1,0.000599904,0,4.247637E-05,0,0.0007367064
9.773136,"2020-02-02 18:33:19",安徽,亳州,30,0,2,0,28,0.06666667,0,0.9333333,0,,0.0882353,,0.3333333,,0.08383234,0.2777778,,0.01851852,,0.3111111,0,1,0.000599904,0,4.247637E-05,0,0.0007367064
9.878021,"2020-02-02 21:04:21",安徽,亳州,30,0,2,0,28,0.06666667,0,0.9333333,0,,0.0882353,,0.2857143,,0.08408409,0.2777778,,0.01851852,,0.3111111,0,1,0.000599904,0,4.247637E-05,0,0.0007367064
10.39484,"2020-02-03 09:28:34",安徽,亳州,39,0,2,0,37,0.05128205,0,0.948718,0,,0.09558824,,0.2857143,,0.09226932,0.3611111,,0.01851852,,0.4111111,0,1,0.0007798752,0,4.247637E-05,0,0.0009735049
10.51569,"2020-02-03 12:22:36",安徽,亳州,39,0,2,0,37,0.05128205,0,0.948718,0,,0.09558824,,0.25,,0.0925,0.3611111,,0.01851852,,0.4111111,0,1,0.0007798752,0,4.247637E-05,0,0.0009735049
10.77419,"2020-02-03 18:34:50",安徽,亳州,39,0,2,0,37,0.05128205,0,0.948718,0,,0.09558824,,0.1818182,,0.09319899,0.3611111,,0.01851852,,0.4111111,0,1,0.0007798752,0,4.247637E-05,0,0.0009735049
10.94785,"2020-02-03 22:44:54",安徽,亳州,39,0,2,0,37,0.05128205,0,0.948718,0,,0.09558824,,0.1428571,,0.09390863,0.3611111,,0.01851852,,0.4111111,0,1,0.0007798752,0,4.247637E-05,0,0.0009735049
11.36191,"2020-02-04 08:41:09",安徽,亳州,48,0,2,0,46,0.04166667,0,0.9583333,0,,0.1,,0.1428571,,0.09871244,0.4444444,,0.01851852,,0.5111111,0,1,0.0009598464,0,4.247637E-05,0,0.001210303
11.56042,"2020-02-04 13:27:00",安徽,亳州,48,0,2,0,46,0.04166667,0,0.9583333,0,,0.1,,0.1428571,,0.09871244,0.4444444,,0.01851852,,0.5111111,0,1,0.0009598464,0,4.247637E-05,0,0.001210303
11.56117,"2020-02-04 13:28:05",安徽,亳州,48,0,2,0,46,0.04166667,0,0.9583333,0,,0.1,,0.1,,0.1,0.4444444,,0.01851852,,0.5111111,0,1,0.0009598464,0,4.247637E-05,0,0.001210303
12.38076,"2020-02-05 09:08:18",安徽,亳州,48,0,2,0,46,0.04166667,0,0.9583333,0,,0.1,,0.1,,0.1,0.4444444,,0.01851852,,0.5111111,0,1,0.0009598464,0,4.247637E-05,0,0.001210303
12.38229,"2020-02-05 09:10:30",安徽,亳州,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.1208333,,0.1,,0.1217391,0.537037,,0.01851852,,0.6222222,0,1,0.001159814,0,4.247637E-05,0,0.001473413
12.38306,"2020-02-05 09:11:36",安徽,亳州,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.109434,,0.1,,0.1098039,0.537037,,0.01851852,,0.6222222,0,1,0.001159814,0,4.247637E-05,0,0.001473413
12.75421,"2020-02-05 18:06:04",安徽,亳州,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.109434,,0.0952381,,0.1100196,0.537037,,0.01851852,,0.6222222,0,1,0.001159814,0,4.247637E-05,0,0.001473413
12.75492,"2020-02-05 18:07:05",安徽,亳州,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.109434,,0.0952381,,0.1100196,0.537037,,0.01851852,,0.6222222,0,1,0.001159814,0,4.247637E-05,0,0.001473413
12.89999,"2020-02-05 21:35:59",安徽,亳州,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.109434,,0.0952381,,0.1100196,0.537037,,0.01851852,,0.6222222,0,1,0.001159814,0,4.247637E-05,0,0.001473413
