TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.4277138,"2020-01-24 10:15:54",安徽,安庆,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.01204819,,0,,0.01449275,,,1.99984E-05,,0,0,2.631094E-05
0.4284147,"2020-01-24 10:16:55",安徽,安庆,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.01204819,,0,,0.01449275,,,1.99984E-05,,0,0,2.631094E-05
0.9826754,"2020-01-24 23:35:03",安徽,安庆,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.01204819,,0,,0.01449275,,,1.99984E-05,,0,0,2.631094E-05
1.411655,"2020-01-25 09:52:46",安徽,安庆,1,0,0,0,1,0,0,1,,,0.02564103,,,,0.02564103,0.01204819,,0,,0.01449275,,,1.99984E-05,,0,0,2.631094E-05
1.457226,"2020-01-25 10:58:24",安徽,安庆,1,0,0,0,1,0,0,1,,,0.02564103,,,,0.02564103,0.01204819,,0,,0.01449275,,,1.99984E-05,,0,0,2.631094E-05
1.457926,"2020-01-25 10:59:24",安徽,安庆,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.04819277,,0,,0.05797102,,,7.99936E-05,,0,0,0.0001052438
1.458626,"2020-01-25 11:00:25",安徽,安庆,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.04819277,,0,,0.05797102,,,7.99936E-05,,0,0,0.0001052438
1.459328,"2020-01-25 11:01:25",安徽,安庆,4,0,0,0,4,0,0,1,,,0.1025641,,,,0.1025641,0.04819277,,0,,0.05797102,,,7.99936E-05,,0,0,0.0001052438
2.361203,"2020-01-26 08:40:07",安徽,安庆,4,0,0,0,4,0,0,1,,,0.1333333,,,,0.1333333,0.04819277,,0,,0.05797102,,,7.99936E-05,,0,0,0.0001052438
2.412323,"2020-01-26 09:53:44",安徽,安庆,5,0,0,0,5,0,0,1,,,0.08333334,,,,0.08333334,0.06024097,,0,,0.07246377,,,9.9992E-05,,0,0,0.0001315547
3.366564,"2020-01-27 08:47:51",安徽,安庆,8,0,0,0,8,0,0,1,,,0.1142857,,,,0.1142857,0.09638554,,0,,0.115942,,,0.0001599872,,0,0,0.0002104875
4.378441,"2020-01-28 09:04:57",安徽,安庆,8,0,0,0,8,0,0,1,,,0.0754717,,,,0.0754717,0.09638554,,0,,0.115942,,,0.0001599872,,0,0,0.0002104875
5.361284,"2020-01-29 08:40:14",安徽,安庆,14,0,0,0,14,0,0,1,,,0.09210526,,,,0.09210526,0.1686747,,0,,0.2028985,,,0.0002799776,,0,0,0.0003683532
5.527772,"2020-01-29 12:39:59",安徽,安庆,14,0,0,0,14,0,0,1,,,0.09032258,,,,0.09032258,0.1686747,,0,,0.2028985,,,0.0002799776,,0,0,0.0003683532
