TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.5271568,"2020-01-24 12:39:06.352",山东,济南,2,0,0,0,2,0,0,1,,,0.1333333,,,,0.1333333,0.04255319,,0,,0.05,,,4.037142E-05,,0,0,5.262189E-05
0.5278586,"2020-01-24 12:40:06.985",山东,济南,2,0,0,0,2,0,0,1,,,0.1333333,,,,0.1333333,0.04255319,,0,,0.05,,,4.037142E-05,,0,0,5.262189E-05
0.9826754,"2020-01-24 23:35:03.158",山东,济南,2,0,0,0,2,0,0,1,,,0.1333333,,,,0.1333333,0.04255319,,0,,0.05,,,4.037142E-05,,0,0,5.262189E-05
1.409554,"2020-01-25 09:49:45.438",山东,济南,2,0,0,0,2,0,0,1,,,0.0952381,,0,,0.1,0.04255319,,0,,0.05,,,4.037142E-05,,0,0,5.262189E-05
1.422868,"2020-01-25 10:08:55.824",山东,济南,2,0,0,0,2,0,0,1,,,0.0952381,,,,0.0952381,0.04255319,,0,,0.05,,,4.037142E-05,,0,0,5.262189E-05
1.469847,"2020-01-25 11:16:34.818",山东,济南,2,0,0,0,2,0,0,1,,,0.0952381,,,,0.0952381,0.04255319,,0,,0.05,,,4.037142E-05,,0,0,5.262189E-05
1.470549,"2020-01-25 11:17:35.394",山东,济南,3,0,0,0,3,0,0,1,,,0.1428571,,,,0.1428571,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
1.47125,"2020-01-25 11:18:36.020",山东,济南,3,0,0,0,3,0,0,1,,,0.1428571,,,,0.1428571,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
1.624201,"2020-01-25 14:58:50.944",山东,济南,3,0,0,0,3,0,0,1,,,0.1428571,,,,0.1428571,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
1.625603,"2020-01-25 15:00:52.117",山东,济南,3,0,0,0,3,0,0,1,,,0.1428571,,,,0.1428571,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
1.626304,"2020-01-25 15:01:52.672",山东,济南,3,0,0,0,3,0,0,1,,,0.1428571,,,,0.1428571,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
1.629812,"2020-01-25 15:06:55.790",山东,济南,3,0,0,0,3,0,0,1,,,0.1111111,,,,0.1111111,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
1.635432,"2020-01-25 15:15:01.322",山东,济南,3,0,0,0,3,0,0,1,,,0.1111111,,,,0.1111111,0.06382979,,0,,0.075,,,6.055713E-05,,0,0,7.893283E-05
