TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.1600851,"2020-01-24 03:50:31.353",广西,北海,3,0,0,0,3,0,0,1,,,0.6,,,,0.6,0.06818182,,0,0,0.08571429,,,6.01552E-05,,0,0,7.893283E-05
0.340161,"2020-01-24 08:09:49.908",广西,北海,3,0,0,0,3,0,0,1,,,0.2307692,,,,0.2307692,0.06818182,,0,0,0.08571429,,,6.01552E-05,,0,0,7.893283E-05
0.3429602,"2020-01-24 08:13:51.761",广西,北海,6,0,0,0,6,0,0,1,,,0.4615385,,,,0.4615385,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
0.3436595,"2020-01-24 08:14:52.183",广西,北海,6,0,0,0,6,0,0,1,,,0.4615385,,,,0.4615385,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
0.3443586,"2020-01-24 08:15:52.585",广西,北海,6,0,0,0,6,0,0,1,,,0.4615385,,,,0.4615385,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
0.9826754,"2020-01-24 23:35:03.158",广西,北海,6,0,0,0,6,0,0,1,,,0.4615385,,,,0.4615385,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
1.05978,"2020-01-25 01:26:05.009",广西,北海,6,0,0,0,6,0,0,1,,,0.2608696,,,,0.2608696,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
1.060481,"2020-01-25 01:27:05.570",广西,北海,6,0,0,0,6,0,0,1,,,0.2608696,,,,0.2608696,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
1.061181,"2020-01-25 01:28:06.054",广西,北海,6,0,0,0,6,0,0,1,,,0.2608696,,,,0.2608696,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
1.061881,"2020-01-25 01:29:06.512",广西,北海,6,0,0,0,6,0,0,1,,,0.2608696,,,,0.2608696,0.1363636,,0,0,0.1714286,,,0.0001203104,,0,0,0.0001578657
2.361203,"2020-01-26 08:40:07.920",广西,北海,7,0,0,0,7,0,0,1,,,0.2121212,,,,0.2121212,0.1590909,,0,0,0.2,,,0.0001403621,,0,0,0.0001841766
2.749482,"2020-01-26 17:59:15.220",广西,北海,9,0,0,0,9,0,0,1,,,0.25,,,,0.25,0.2045455,,0,0,0.2571429,,,0.0001804656,,0,0,0.0002367985
2.752294,"2020-01-26 18:03:18.201",广西,北海,9,0,0,0,9,0,0,1,,,0.25,,,,0.25,0.2045455,,0,0,0.2571429,,,0.0001804656,,0,0,0.0002367985
3.341335,"2020-01-27 08:11:31.301",广西,北海,9,0,0,0,9,0,0,1,,,0.1956522,,,,0.1956522,0.2045455,,0,0,0.2571429,,,0.0001804656,,0,0,0.0002367985
4.352463,"2020-01-28 08:27:32.833",广西,北海,11,0,0,0,11,0,0,1,,,0.2156863,,,,0.2156863,0.25,,0,0,0.3142857,,,0.0002205691,,0,0,0.0002894204
4.700991,"2020-01-28 16:49:25.606",广西,北海,11,0,0,0,11,0,0,1,,,0.2156863,,0,,0.22,0.25,,0,0,0.3142857,,,0.0002205691,,0,0,0.0002894204
4.702395,"2020-01-28 16:51:26.948",广西,北海,11,0,0,0,11,0,0,1,,,0.2156863,,0,,0.22,0.25,,0,0,0.3142857,,,0.0002205691,,0,0,0.0002894204
4.775367,"2020-01-28 18:36:31.731",广西,北海,11,0,0,0,11,0,0,1,,,0.2156863,,0,,0.2244898,0.25,,0,0,0.3142857,,,0.0002205691,,0,0,0.0002894204
5.346594,"2020-01-29 08:19:05.707",广西,北海,13,0,0,0,13,0,0,1,,,0.2241379,,0,,0.2321429,0.2954545,,0,0,0.3714286,,,0.0002606725,,0,0,0.0003420422
6.353411,"2020-01-30 08:28:54.706",广西,北海,13,0,0,0,13,0,0,1,,,0.1666667,,0,,0.1710526,0.2954545,,0,0,0.3714286,,,0.0002606725,,0,0,0.0003420422
6.354111,"2020-01-30 08:29:55.176",广西,北海,15,0,0,0,15,0,0,1,,,0.1923077,,0,,0.1973684,0.3409091,,0,0,0.4285714,,,0.000300776,,0,0,0.0003946642
6.354811,"2020-01-30 08:30:55.652",广西,北海,15,0,0,0,15,0,0,1,,,0.1923077,,0,,0.1973684,0.3409091,,0,0,0.4285714,,,0.000300776,,0,0,0.0003946642
7.357069,"2020-01-31 08:34:10.769",广西,北海,17,0,0,0,17,0,0,1,,,0.1954023,,0,,0.2,0.3863636,,0,0,0.4857143,,,0.0003408795,,0,0,0.000447286
8.354965,"2020-02-01 08:31:09.013",广西,北海,23,0,0,0,23,0,0,1,,,0.23,,0,,0.2346939,0.5227273,,0,0,0.6571429,,,0.0004611899,,0,0,0.0006051517
9.344254,"2020-02-02 08:15:43.465",广西,北海,23,0,0,0,23,0,0,1,,,0.2072072,,0,,0.2110092,0.5227273,,0,0,0.6571429,,,0.0004611899,,0,0,0.0006051517
10.39484,"2020-02-03 09:28:34.053",广西,北海,26,0,0,0,26,0,0,1,,,0.2047244,,0,,0.208,0.5909091,,0,0,0.7428572,,,0.0005213451,,0,0,0.0006840845
10.85102,"2020-02-03 20:25:28.164",广西,北海,26,0,0,0,26,0,0,1,,,0.2047244,,0,,0.208,0.5909091,,0,0,0.7428572,,,0.0005213451,,0,0,0.0006840845
10.85178,"2020-02-03 20:26:33.607",广西,北海,26,0,0,0,26,0,0,1,,,0.2047244,,0,,0.2166667,0.5909091,,0,0,0.7428572,,,0.0005213451,,0,0,0.0006840845
11.34982,"2020-02-04 08:23:44.678",广西,北海,27,0,0,0,27,0,0,1,,,0.1942446,,0,,0.2045455,0.6136364,,0,0,0.7714286,,,0.0005413968,,0,0,0.0007103955
11.48395,"2020-02-04 11:36:53.013",广西,北海,27,0,0,0,27,0,0,1,,,0.1942446,,0,,0.2045455,0.6136364,,0,0,0.7714286,,,0.0005413968,,0,0,0.0007103955
11.49083,"2020-02-04 11:46:47.803",广西,北海,27,0,0,0,27,0,0,1,,,0.1942446,,0,,0.2045455,0.6136364,,0,0,0.7714286,,,0.0005413968,,0,0,0.0007103955
11.57266,"2020-02-04 13:44:37.489",广西,北海,27,0,2,0,25,0.07407407,0,0.9259259,0,,0.1942446,,0.2,,0.1937985,0.6136364,,0.05,0,0.7142857,0,,0.0005413968,,7.008691E-05,0,0.0006577736
12.36106,"2020-02-05 08:39:56.021",广西,北海,29,0,2,0,27,0.06896552,0,0.9310345,0,,0.1933333,,0.2,,0.1928571,0.6590909,,0.05,0,0.7714286,0,,0.0005815003,,7.008691E-05,0,0.0007103955
12.82343,"2020-02-05 19:45:44.487",广西,北海,29,0,2,0,27,0.06896552,0,0.9310345,0,,0.1933333,,0.1666667,,0.1956522,0.6590909,,0.05,0,0.7714286,0,,0.0005815003,,7.008691E-05,0,0.0007103955
12.82413,"2020-02-05 19:46:45.063",广西,北海,29,0,2,0,27,0.06896552,0,0.9310345,0,,0.1933333,,0.1666667,,0.1956522,0.6590909,,0.05,0,0.7714286,0,,0.0005815003,,7.008691E-05,0,0.0007103955
12.82975,"2020-02-05 19:54:50.858",广西,北海,29,0,2,0,27,0.06896552,0,0.9310345,0,,0.1933333,,0.1538462,,0.1970803,0.6590909,,0.05,0,0.7714286,0,,0.0005815003,,7.008691E-05,0,0.0007103955
13.3644,"2020-02-06 08:44:43.731",广西,北海,29,0,2,0,27,0.06896552,0,0.9310345,0,,0.172619,,0.1538462,,0.1741935,0.6590909,,0.05,0,0.7714286,0,,0.0005815003,,7.008691E-05,0,0.0007103955
13.3651,"2020-02-06 08:45:44.501",广西,北海,29,0,2,0,27,0.06896552,0,0.9310345,0,,0.172619,,0.1538462,,0.1741935,0.6590909,,0.05,0,0.7714286,0,,0.0005815003,,7.008691E-05,0,0.0007103955
13.3658,"2020-02-06 08:46:45.236",广西,北海,31,0,2,0,29,0.06451613,0,0.9354839,0,,0.1845238,,0.1538462,,0.1870968,0.7045454,,0.05,0,0.8285714,0,,0.0006216037,,7.008691E-05,0,0.0007630173
13.3665,"2020-02-06 08:47:45.948",广西,北海,31,0,2,0,29,0.06451613,0,0.9354839,0,,0.1845238,,0.1538462,,0.1870968,0.7045454,,0.05,0,0.8285714,0,,0.0006216037,,7.008691E-05,0,0.0007630173
13.50644,"2020-02-06 12:09:16.025",广西,北海,31,0,2,0,29,0.06451613,0,0.9354839,0,,0.1845238,,0.1428571,,0.1883117,0.7045454,,0.05,0,0.8285714,0,,0.0006216037,,7.008691E-05,0,0.0007630173
14.3551,"2020-02-07 08:31:20.970",广西,北海,31,0,2,0,29,0.06451613,0,0.9354839,0,,0.1802326,,0.1176471,,0.1870968,0.7045454,,0.05,0,0.8285714,0,,0.0006216037,,7.008691E-05,0,0.0007630173
