TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
6.374401,"2020-01-30 08:59:08.195",河南,长垣,1,0,0,0,1,0,0,1,,,0.003597122,,,0,0.003610108,0.5,,,,0.5,,,2.003526E-05,,0,0,2.631094E-05
6.3751,"2020-01-30 09:00:08.606",河南,长垣,1,0,0,0,1,0,0,1,,,0.003597122,,0,0,0.003636364,0.5,,,,0.5,,,2.003526E-05,,0,0,2.631094E-05
6.379298,"2020-01-30 09:06:11.324",河南,长垣,1,0,0,0,1,0,0,1,,,0.003597122,,0,0,0.003649635,0.5,,,,0.5,,,2.003526E-05,,0,0,2.631094E-05
6.522817,"2020-01-30 12:32:51.411",河南,长垣,1,0,0,0,1,0,0,1,,,0.003597122,,0,0,0.003649635,0.5,,,,0.5,,,2.003526E-05,,0,0,2.631094E-05
7.378678,"2020-01-31 09:05:17.803",河南,长垣,2,0,0,0,2,0,0,1,,,0.005681818,,0,0,0.005763689,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
7.491625,"2020-01-31 11:47:56.417",河南,长垣,2,0,0,0,2,0,0,1,,,0.005681818,,0,0,0.005763689,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
7.573299,"2020-01-31 13:45:33.073",河南,长垣,2,0,0,0,2,0,0,1,,,0.005681818,,0,0,0.005763689,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
8.368544,"2020-02-01 08:50:42.152",河南,长垣,2,0,0,0,2,0,0,1,,,0.004739337,,0,0,0.004784689,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
8.369987,"2020-02-01 08:52:46.816",河南,长垣,2,0,0,0,2,0,0,1,,,0.004739337,,0,0,0.004796163,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
8.672964,"2020-02-01 16:09:04.135",河南,长垣,2,0,0,0,2,0,0,1,,,0.004739337,,0,0,0.004796163,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
8.770317,"2020-02-01 18:29:15.389",河南,长垣,2,0,0,0,2,0,0,1,,,0.004739337,,0,0,0.004796163,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
8.870874,"2020-02-01 20:54:03.583",河南,长垣,2,0,0,0,2,0,0,1,,,0.004739337,,0,0,0.004796163,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
8.871651,"2020-02-01 20:55:10.655",河南,长垣,2,0,0,0,2,0,0,1,,,0.004739337,,0,0,0.004796163,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.367256,"2020-02-02 08:48:50.903",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004106776,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.467849,"2020-02-02 11:13:42.141",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004106776,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.500595,"2020-02-02 12:00:51.379",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004106776,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.501368,"2020-02-02 12:01:58.138",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004106776,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.789286,"2020-02-02 18:56:34.281",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004115226,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.870395,"2020-02-02 20:53:22.134",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004149378,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
9.984202,"2020-02-02 23:37:15.069",河南,长垣,2,0,0,0,2,0,0,1,,,0.004056795,,0,0,0.004158004,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
10.39484,"2020-02-03 09:28:34.053",河南,长垣,2,0,0,0,2,0,0,1,,,0.003533569,,0,0,0.003636364,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
10.84172,"2020-02-03 20:12:05.010",河南,长垣,2,0,0,0,2,0,0,1,,,0.003533569,,0,0,0.003636364,1,,,,1,,,4.007052E-05,,0,0,5.262189E-05
