TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
2.412315,"2020-01-26 09:53:44",浙江,丽水,3,0,0,0,3,0,0,1,,,0.02884615,,0,,0.02912621,0.1764706,,0,,0.2,,,5.99916E-05,0,0,0,7.893283E-05
3.376366,"2020-01-27 09:01:58",浙江,丽水,3,0,0,0,3,0,0,1,,,0.0234375,,0,,0.02362205,0.1764706,,0,,0.2,,,5.99916E-05,0,0,0,7.893283E-05
3.377766,"2020-01-27 09:03:59",浙江,丽水,3,0,0,0,3,0,0,1,,,0.0234375,,0,,0.02362205,0.1764706,,0,,0.2,,,5.99916E-05,0,0,0,7.893283E-05
4.386158,"2020-01-28 09:16:04",浙江,丽水,5,0,0,0,5,0,0,1,,,0.02890173,,0,,0.02906977,0.2941177,,0,,0.3333333,,,9.9986E-05,0,0,0,0.0001315547
4.824479,"2020-01-28 19:47:15",浙江,丽水,5,0,0,0,5,0,0,1,,,0.02890173,,0,,0.02941176,0.2941177,,0,,0.3333333,,,9.9986E-05,0,0,0,0.0001315547
5.378762,"2020-01-29 09:05:25",浙江,丽水,6,0,0,0,6,0,0,1,,,0.02027027,,0,,0.02047782,0.3529412,,0,,0.4,,,0.0001199832,0,0,0,0.0001578657
6.382789,"2020-01-30 09:11:13",浙江,丽水,6,0,1,0,5,0.1666667,0,0.8333333,0,,0.01401869,,0.25,,0.01179245,0.3529412,,0.05882353,,0.3333333,,,0.0001199832,0,2.165674E-05,0,0.0001315547
7.388704,"2020-01-31 09:19:44",浙江,丽水,7,0,1,0,6,0.1428571,0,0.8571429,0,,0.01303538,,0.1111111,,0.01136364,0.4117647,,0.05882353,,0.4,,,0.0001399804,0,2.165674E-05,0,0.0001578657
7.679664,"2020-01-31 16:18:43",浙江,丽水,7,0,1,0,6,0.1428571,0,0.8571429,0,,0.01303538,,0.1,,0.0113852,0.4117647,,0.05882353,,0.4,,,0.0001399804,0,2.165674E-05,0,0.0001578657
7.732118,"2020-01-31 17:34:15",浙江,丽水,7,0,1,0,6,0.1428571,0,0.8571429,0,,0.01301115,,0.09090909,,0.0113852,0.4117647,,0.05882353,,0.4,,,0.0001399804,0,2.165674E-05,0,0.0001578657
7.946586,"2020-01-31 22:43:05",浙江,丽水,7,0,1,0,6,0.1428571,0,0.8571429,0,,0.01301115,,0.07142857,,0.01145038,0.4117647,,0.05882353,,0.4,,,0.0001399804,0,2.165674E-05,0,0.0001578657
8.296979,"2020-02-01 07:07:39",浙江,丽水,7,0,1,0,6,0.1428571,0,0.8571429,0,,0.01303538,,0.09090909,,0.01140684,0.4117647,,0.05882353,,0.4,,,0.0001399804,0,2.165674E-05,0,0.0001578657
