TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
1.838324,"2020-01-25 20:07:11.173",湖北,襄阳,1,0,0,0,1,0,0,1,,,0.001369863,,0,0,0.001517451,0.0008510638,,0,0,0.0009756098,,,2.008153E-05,,0,0,2.631094E-05
1.996942,"2020-01-25 23:55:35.775",湖北,襄阳,1,0,0,0,1,0,0,1,,,0.001369863,,0,0,0.001517451,0.0008510638,,0,0,0.0009756098,,,2.008153E-05,,0,0,2.631094E-05
2.001156,"2020-01-26 00:01:39.903",湖北,襄阳,1,0,0,0,1,0,0,1,,,0.00131406,,0,0,0.001451379,0.0008510638,,0,0,0.0009756098,,,2.008153E-05,,0,0,2.631094E-05
2.373812,"2020-01-26 08:58:17.364",湖北,襄阳,3,0,0,0,3,0,0,1,,,0.002849003,,0,0,0.003128259,0.002553192,,0,0,0.002926829,,,6.024459E-05,,0,0,7.893283E-05
2.412323,"2020-01-26 09:53:44.753",湖北,襄阳,2,0,0,0,2,0,0,1,,,0.001901141,,0,0,0.002087683,0.001702128,,0,0,0.00195122,,,4.016306E-05,,0,0,5.262189E-05
2.571887,"2020-01-26 13:43:30.991",湖北,襄阳,9,0,0,0,9,0,0,1,,,0.008555133,,0,0,0.009394572,0.007659575,,0,0,0.008780488,,,0.0001807338,,0,0,0.0002367985
2.573292,"2020-01-26 13:45:32.398",湖北,襄阳,8,0,0,0,8,0,0,1,,,0.007604563,,0,0,0.008350731,0.006808511,,0,0,0.007804878,,,0.0001606522,,0,0,0.0002104875
2.576804,"2020-01-26 13:50:35.848",湖北,襄阳,8,0,0,0,8,0,0,1,,,0.007561437,,0,0,0.008298756,0.006808511,,0,0,0.007804878,,,0.0001606522,,0,0,0.0002104875
3.298631,"2020-01-27 07:10:01.707",湖北,襄阳,8,0,0,0,8,0,0,1,,,0.005621925,,0,0,0.006139677,0.006808511,,0,0,0.007804878,,,0.0001606522,,0,0,0.0002104875
3.299332,"2020-01-27 07:11:02.290",湖北,襄阳,8,0,0,0,8,0,0,1,,,0.005621925,,0,0,0.006139677,0.006808511,,0,0,0.007804878,,,0.0001606522,,0,0,0.0002104875
