TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.4641551,"2020-01-24 11:08:23",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.4648611,"2020-01-24 11:09:24",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.4655555,"2020-01-24 11:10:24",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.466956,"2020-01-24 11:12:25",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.467662,"2020-01-24 11:13:26",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.4697685,"2020-01-24 11:16:28",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.4704629,"2020-01-24 11:17:28",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.4732755,"2020-01-24 11:21:31",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
0.9826736,"2020-01-24 23:35:03",湖南,株洲,1,0,0,0,1,0,0,1,,,0.04166667,,,,0.04166667,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
1.411644,"2020-01-25 09:52:46",湖南,株洲,1,0,0,0,1,0,0,1,,,0.02325581,,,,0.02325581,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
1.460023,"2020-01-25 11:02:26",湖南,株洲,1,0,0,0,1,0,0,1,,,0.02325581,,,,0.02325581,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
1.460729,"2020-01-25 11:03:27",湖南,株洲,1,0,0,0,1,0,0,1,,,0.02325581,,,,0.02325581,0.0125,,0,,0.01639344,,,1.986768E-05,0,0,0,2.631094E-05
