TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.430518,"2020-01-24 10:19:56",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
0.4312192,"2020-01-24 10:20:57",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
0.4319198,"2020-01-24 10:21:57",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
0.4326203,"2020-01-24 10:22:58",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
0.4333204,"2020-01-24 10:23:58",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
0.4340208,"2020-01-24 10:24:59",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
0.9826754,"2020-01-24 23:35:03",重庆,渝北,2,0,0,0,2,0,0,1,,,0.07407407,,,,0.07407407,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.410954,"2020-01-25 09:51:46",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.472654,"2020-01-25 11:20:37",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.473355,"2020-01-25 11:21:37",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.474056,"2020-01-25 11:22:38",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.474757,"2020-01-25 11:23:39",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.475459,"2020-01-25 11:24:39",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
1.486691,"2020-01-25 11:40:50",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
2.361203,"2020-01-26 08:40:07",重庆,渝北,2,0,0,0,2,0,0,1,,,0.04166667,,,,0.04166667,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
2.373812,"2020-01-26 08:58:17",重庆,渝北,2,0,0,0,2,0,0,1,,,0.03508772,,,,0.03508772,0.1176471,,0,,0.1538462,,,3.9996E-05,,0,0,5.262189E-05
2.412323,"2020-01-26 09:53:44",重庆,渝北,4,0,0,0,4,0,0,1,,,0.05333333,,,,0.05333333,0.2352941,,0,,0.3076923,,,7.9992E-05,,0,0,0.0001052438
3.385483,"2020-01-27 09:15:05",重庆,渝北,4,0,0,0,4,0,0,1,,,0.03636364,,,,0.03636364,0.2352941,,0,,0.3076923,,,7.9992E-05,,0,0,0.0001052438
3.386184,"2020-01-27 09:16:06",重庆,渝北,5,0,0,0,5,0,0,1,,,0.04545455,,,,0.04545455,0.2941177,,0,,0.3846154,,,9.999E-05,,0,0,0.0001315547
3.388288,"2020-01-27 09:19:08",重庆,渝北,5,0,0,0,5,0,0,1,,,0.04545455,,,,0.04545455,0.2941177,,0,,0.3846154,,,9.999E-05,,0,0,0.0001315547
3.388989,"2020-01-27 09:20:08",重庆,渝北,5,0,0,0,5,0,0,1,,,0.04545455,,,,0.04545455,0.2941177,,0,,0.3846154,,,9.999E-05,,0,0,0.0001315547
4.385461,"2020-01-28 09:15:03",重庆,渝北,6,0,0,0,6,0,0,1,,,0.04545455,,,,0.04545455,0.3529412,,0,,0.4615385,,,0.000119988,,0,0,0.0001578657
5.393464,"2020-01-29 09:26:35",重庆,渝北,6,0,0,0,6,0,0,1,,,0.04081633,,,,0.04081633,0.3529412,,0,,0.4615385,,,0.000119988,,0,0,0.0001578657
5.434067,"2020-01-29 10:25:03",重庆,渝北,6,0,0,0,6,0,0,1,,,0.04081633,,0,,0.04109589,0.3529412,,0,,0.4615385,,,0.000119988,,0,0,0.0001578657
5.453661,"2020-01-29 10:53:16",重庆,渝北,6,0,0,0,6,0,0,1,,,0.04081633,,0,,0.04109589,0.3529412,,0,,0.4615385,,,0.000119988,,0,0,0.0001578657
6.297462,"2020-01-30 07:08:20",重庆,渝北,7,0,0,0,7,0,0,1,,,0.04242424,,0,,0.04268293,0.4117647,,0,,0.5384616,,,0.000139986,,0,0,0.0001841766
6.681692,"2020-01-30 16:21:38",重庆,渝北,8,0,0,0,8,0,0,1,,,0.04395605,,0,,0.0441989,0.4705882,,0,,0.6153846,,,0.000159984,,0,0,0.0002104875
6.683093,"2020-01-30 16:23:39",重庆,渝北,8,0,0,0,8,0,0,1,,,0.04395605,,0,,0.0441989,0.4705882,,0,,0.6153846,,,0.000159984,,0,0,0.0002104875
6.683794,"2020-01-30 16:24:39",重庆,渝北,8,0,0,0,8,0,0,1,,,0.04395605,,0,,0.0441989,0.4705882,,0,,0.6153846,,,0.000159984,,0,0,0.0002104875
7.314667,"2020-01-31 07:33:07",重庆,渝北,10,0,0,0,10,0,0,1,,,0.04854369,,0,,0.04878049,0.5882353,,0,,0.7692308,,,0.00019998,,0,0,0.0002631094
7.572528,"2020-01-31 13:44:26",重庆,渝北,10,0,0,0,10,0,0,1,,,0.04854369,,0,,0.04878049,0.5882353,,0,,0.7692308,,,0.00019998,,0,0,0.0002631094
7.573299,"2020-01-31 13:45:33",重庆,渝北,10,0,0,0,10,0,0,1,,,0.04854369,,0,,0.04878049,0.5882353,,0,,0.7692308,,,0.00019998,,0,0,0.0002631094
7.574072,"2020-01-31 13:46:39",重庆,渝北,10,0,0,0,10,0,0,1,,,0.04854369,,0,,0.04878049,0.5882353,,0,,0.7692308,,,0.00019998,,0,0,0.0002631094
7.575613,"2020-01-31 13:48:53",重庆,渝北,10,0,0,0,10,0,0,1,,,0.04854369,,0,,0.04878049,0.5882353,,0,,0.7692308,,,0.00019998,,0,0,0.0002631094
