TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.160081,"2020-01-24 03:50:31",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.3333333,,,,0.3333333,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
0.8247454,"2020-01-24 19:47:38",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.3333333,,,,0.3333333,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
0.8254398,"2020-01-24 19:48:38",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.3333333,,,,0.3333333,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
0.8261458,"2020-01-24 19:49:39",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.2,,,,0.2,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
0.9826736,"2020-01-24 23:35:03",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.2,,,,0.2,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
1.67265,"2020-01-25 16:08:37",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
1.673345,"2020-01-25 16:09:37",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
1.674051,"2020-01-25 16:10:38",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
1.675451,"2020-01-25 16:12:39",陕西,咸阳,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,0.05882353,,0,,0.06666667,,,1.986768E-05,0,0,0,2.631094E-05
1.676157,"2020-01-25 16:13:40",陕西,咸阳,2,0,0,0,2,0,0,1,,,0.1333333,,,,0.1333333,0.1176471,,0,,0.1333333,,,3.973536E-05,0,0,0,5.262189E-05
1.987095,"2020-01-25 23:41:25",陕西,咸阳,3,0,0,0,3,0,0,1,,,0.2,,,,0.2,0.1764706,,0,,0.2,,,5.960304E-05,0,0,0,7.893283E-05
2.519954,"2020-01-26 12:28:44",陕西,咸阳,3,0,0,0,3,0,0,1,,,0.1363636,,,,0.1363636,0.1764706,,0,,0.2,,,5.960304E-05,0,0,0,7.893283E-05
2.520648,"2020-01-26 12:29:44",陕西,咸阳,3,0,0,0,3,0,0,1,,,0.1363636,,,,0.1363636,0.1764706,,0,,0.2,,,5.960304E-05,0,0,0,7.893283E-05
3.509549,"2020-01-27 12:13:45",陕西,咸阳,4,0,0,0,4,0,0,1,,,0.1818182,,,,0.1818182,0.2352941,,0,,0.2666667,,,7.947072E-05,0,0,0,0.0001052438
3.510949,"2020-01-27 12:15:46",陕西,咸阳,4,0,0,0,4,0,0,1,,,0.1142857,,,,0.1142857,0.2352941,,0,,0.2666667,,,7.947072E-05,0,0,0,0.0001052438
4.655197,"2020-01-28 15:43:29",陕西,咸阳,4,0,0,0,4,0,0,1,,,0.08695652,,,,0.08695652,0.2352941,,0,,0.2666667,,,7.947072E-05,0,0,0,0.0001052438
5.47184,"2020-01-29 11:19:27",陕西,咸阳,5,0,0,0,5,0,0,1,,,0.08928572,,,,0.08928572,0.2941177,,0,,0.3333333,,,9.933841E-05,0,0,0,0.0001315547
5.864444,"2020-01-29 20:44:48",陕西,咸阳,5,0,0,0,5,0,0,1,,,0.08928572,,,,0.08928572,0.2941177,,0,,0.3333333,,,9.933841E-05,0,0,0,0.0001315547
6.512326,"2020-01-30 12:17:45",陕西,咸阳,5,0,0,0,5,0,0,1,,,0.07936508,,,,0.07936508,0.2941177,,0,,0.3333333,,,9.933841E-05,0,0,0,0.0001315547
6.513021,"2020-01-30 12:18:45",陕西,咸阳,5,0,0,0,5,0,0,1,,,0.07936508,,,,0.07936508,0.2941177,,0,,0.3333333,,,9.933841E-05,0,0,0,0.0001315547
6.513727,"2020-01-30 12:19:46",陕西,咸阳,5,0,0,0,5,0,0,1,,,0.07936508,,,,0.07936508,0.2941177,,0,,0.3333333,,,9.933841E-05,0,0,0,0.0001315547
7.461563,"2020-01-31 11:04:39",陕西,咸阳,5,0,0,0,5,0,0,1,,,0.05747126,,,,0.05747126,0.2941177,,0,,0.3333333,,,9.933841E-05,0,0,0,0.0001315547
7.463102,"2020-01-31 11:06:52",陕西,咸阳,6,0,0,0,6,0,0,1,,,0.06896552,,,,0.06896552,0.3529412,,0,,0.4,,,0.0001192061,0,0,0,0.0001578657
8.4536,"2020-02-01 10:53:11",陕西,咸阳,8,0,0,0,8,0,0,1,,,0.07920792,,,,0.07920792,0.4705882,,0,,0.5333334,,,0.0001589414,0,0,0,0.0002104875
9.471713,"2020-02-02 11:19:16",陕西,咸阳,9,0,0,0,9,0,0,1,,,0.0775862,,,,0.0775862,0.5294118,,0,,0.6,,,0.0001788091,0,0,0,0.0002367985
10.43917,"2020-02-03 10:32:24",陕西,咸阳,9,0,0,0,9,0,0,1,,,0.0703125,,,,0.0703125,0.5294118,,0,,0.6,,,0.0001788091,0,0,0,0.0002367985
11.40071,"2020-02-04 09:37:01",陕西,咸阳,9,0,0,0,9,0,0,1,,,0.0703125,,0,,0.07086615,0.5294118,,0,,0.6,,,0.0001788091,0,0,0,0.0002367985
11.43285,"2020-02-04 10:23:18",陕西,咸阳,11,0,0,0,11,0,0,1,,,0.07746479,,0,,0.07801419,0.6470588,,0,,0.7333333,,,0.0002185445,0,0,0,0.0002894204
11.8527,"2020-02-04 20:27:53",陕西,咸阳,11,0,0,0,11,0,0,1,,,0.07746479,,0,,0.07857143,0.6470588,,0,,0.7333333,,,0.0002185445,0,0,0,0.0002894204
12.4435,"2020-02-05 10:38:38",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.1056338,,0,,0.1071429,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
12.44427,"2020-02-05 10:39:45",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.1056338,,0,,0.1071429,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
12.44507,"2020-02-05 10:40:54",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.09090909,,0,,0.09202454,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
12.69568,"2020-02-05 16:41:47",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.09090909,,0,,0.09433962,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
13.43539,"2020-02-06 10:26:58",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.0867052,,0,,0.08982036,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
13.4361,"2020-02-06 10:27:59",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.0867052,,0,,0.08982036,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
13.50221,"2020-02-06 12:03:11",陕西,咸阳,15,0,0,0,15,0,0,1,,,0.0867052,,0,,0.09036145,0.8823529,,0,,1,,,0.0002980152,0,0,0,0.0003946642
13.79196,"2020-02-06 19:00:25",陕西,咸阳,15,0,1,0,14,0.06666667,0,0.9333333,0,,0.0867052,,0.125,,0.08484849,0.8823529,,0.05882353,,0.9333333,0,1,0.0002980152,0,2.152204E-05,0,0.0003683532
