TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
39.7244,"2020-03-03 17:23:08.023",内蒙古,乌兰察布,3,0,2,0,1,0.6666667,0,0.3333333,0,,0.04,,0.03389831,0,0.06666667,1,,1,,0.3333333,,,6.06968E-05,,8.671899E-05,0,2.631094E-05
39.7244,"2020-03-03 17:23:08.023",内蒙古,乌海,2,0,2,0,0,1,0,0,0,,0.02666667,,0.03389831,0,0,1,,1,,0,,,4.046453E-05,,8.671899E-05,0,0
39.7244,"2020-03-03 17:23:08.023",内蒙古,兴安盟,1,0,1,0,0,1,0,0,0,,0.01333333,,0.01694915,0,0,1,,1,,0,,,2.023227E-05,,4.335949E-05,0,0
39.7244,"2020-03-03 17:23:08.023",内蒙古,包头,11,0,8,0,3,0.7272727,0,0.2727273,0,,0.1466667,,0.1355932,0,0.2,1,,1,,0.2727273,,,0.0002225549,,0.000346876,0,7.893283E-05
39.7244,"2020-03-03 17:23:08.023",内蒙古,呼伦贝尔,7,0,5,0,2,0.7142857,0,0.2857143,0,,0.09333333,,0.08474576,0,0.1333333,1,,1,,0.3333333,,,0.0001416259,,0.0002167975,0,5.262189E-05
39.7244,"2020-03-03 17:23:08.023",内蒙古,呼和浩特,7,0,4,0,3,0.5714286,0,0.4285714,0,,0.09333333,,0.06779661,0,0.2,1,,1,,0.4285714,,,0.0001416259,,0.000173438,0,7.893283E-05
39.7244,"2020-03-03 17:23:08.023",内蒙古,巴彦淖尔,8,0,7,1,0,0.875,0.125,0,0.1428571,7,0.1066667,,0.1186441,1,0,1,,1,1,0,1,,0.0001618581,,0.0003035165,0.000444247,0
39.7244,"2020-03-03 17:23:08.023",内蒙古,赤峰,9,0,8,0,1,0.8888889,0,0.1111111,0,,0.12,,0.1355932,0,0.06666667,1,,1,,0.1428571,,,0.0001820904,,0.000346876,0,2.631094E-05
39.7244,"2020-03-03 17:23:08.023",内蒙古,通辽,7,0,4,0,3,0.5714286,0,0.4285714,0,,0.09333333,,0.06779661,0,0.2,1,,1,,0.4285714,,,0.0001416259,,0.000173438,0,7.893283E-05
39.7244,"2020-03-03 17:23:08.023",内蒙古,鄂尔多斯,11,0,10,0,1,0.9090909,0,0.09090909,0,,0.1466667,,0.1694915,0,0.06666667,1,,1,,0.09090909,,,0.0002225549,,0.0004335949,0,2.631094E-05
