TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
75.05235,"2020-04-08 01:15:23",中国,83095,0,77467,3340,2288,0.9322703,0.04019496,0.02753475,0.04311513,23.19371,1,,1,1,0.2113821,0.04133305,0.9586669,0.05855521,0,0.234343,0.04177193,0.006768269
75.05235,"2020-04-08 01:15:23",刚果（金）,180,0,9,18,153,0.05,0.1,0.85,2,0.5,1,,1,1,1,0.6666667,0.3333333,0.000126842,0,2.722562E-05,0.0002251182,0.0004525984
75.05235,"2020-04-08 01:15:23",孟加拉国,164,0,33,17,114,0.2012195,0.1036585,0.6951219,0.5151515,1.941176,1,,1,1,1,0.34,0.66,0.0001155672,0,9.982727E-05,0.0002126116,0.0003372302
75.05235,"2020-04-08 01:15:23",比利时,22194,0,2872,2035,17287,0.1294043,0.09169145,0.7789042,0.7085655,1.411302,1,,1,1,1,0.4147137,0.5852863,0.01563962,0,0.008687997,0.02545086,0.05113771
75.05235,"2020-04-08 01:15:23",法国,74390,0,17250,8911,48229,0.231886,0.1197876,0.6483264,0.5165797,1.93581,1,,1,1,0.6639729,0.3406215,0.6593785,0.05242099,0,0.05218244,0.111446,0.1426691
75.05235,"2020-04-08 01:15:23",英国,55242,0,135,6159,48948,0.002443793,0.1114913,0.8860649,45.62222,0.02191914,1,,1,1,1,0.978551,0.021449,0.03892782,0,0.0004083843,0.07702794,0.144796
75.05235,"2020-04-08 01:15:23",荷兰,19580,0,2954,2101,14525,0.1508682,0.1073034,0.7418284,0.711239,1.405997,1,,1,1,1,0.4156281,0.5843719,0.01379759,0,0.008936053,0.02627629,0.04296727
75.05235,"2020-04-08 01:15:23",西班牙,140510,0,38080,13798,88632,0.2710128,0.09819942,0.6307878,0.3623424,2.75982,1,,1,1,1,0.2659702,0.7340298,0.0990143,0,0.1151946,0.1725656,0.2621876
75.05235,"2020-04-08 01:15:23",阿尔及利亚,1251,0,62,130,1059,0.04956035,0.1039169,0.8465228,2.096774,0.4769231,1,,1,1,1,0.6770833,0.3229167,0.0008815521,0,0.0001875543,0.001625854,0.003132691
75.01434,"2020-04-08 00:20:39",乌克兰,1462,0,28,45,1389,0.01915185,0.03077975,0.9500684,1.607143,0.6222222,1,,1,1,1,0.6164383,0.3835616,0.001030239,0,8.470193E-05,0.0005627955,0.004108884
75.01434,"2020-04-08 00:20:39",伊拉克,1031,0,344,64,623,0.3336566,0.06207566,0.6042677,0.1860465,5.375,1,,1,1,1,0.1568628,0.8431373,0.0007265229,0,0.001040624,0.0008004202,0.001842934
75.01434,"2020-04-08 00:20:39",关岛,112,0,0,4,108,0,0.03571429,0.9642857,,0,1,,,1,1,1,0,7.892393E-05,0,0,5.002626E-05,0.0003194812
75.01434,"2020-04-08 00:20:39",加纳,287,0,3,5,279,0.01045296,0.0174216,0.9721254,1.666667,0.6,1,,1,1,1,0.625,0.375,0.0002022426,0,9.075206E-06,6.253283E-05,0.0008253266
75.01434,"2020-04-08 00:20:39",卢旺达,105,0,4,0,101,0.03809524,0,0.9619048,0,,1,,1,,0.990196,0,1,7.399118E-05,0,1.210027E-05,0,0.0002987741
75.01434,"2020-04-08 00:20:39",吉尔吉斯斯坦,228,0,33,4,191,0.1447368,0.01754386,0.8377193,0.1212121,8.25,1,,1,1,0.9744898,0.1081081,0.8918919,0.0001606666,0,9.982727E-05,5.002626E-05,0.0005650085
75.01434,"2020-04-08 00:20:39",吉布提,121,0,18,0,103,0.1487603,0,0.8512397,0,,1,,1,,1,0,1,8.526603E-05,0,5.445124E-05,0,0.0003046904
75.01434,"2020-04-08 00:20:39",奥地利,11983,0,2507,204,9272,0.209213,0.01702412,0.7737628,0.08137216,12.28922,1,,1,1,0.9784719,0.07524899,0.924751,0.008444156,0,0.007583847,0.00255134,0.02742806
75.01434,"2020-04-08 00:20:39",巴拉圭,113,0,12,5,96,0.1061947,0.04424779,0.8495575,0.4166667,2.4,1,,1,1,0.880734,0.2941177,0.7058824,7.96286E-05,0,3.630083E-05,6.253283E-05,0.0002839833
75.01434,"2020-04-08 00:20:39",德国,99225,0,8481,1607,89137,0.08547241,0.01619552,0.8983321,0.1894824,5.277536,1,,1,1,1,0.1592982,0.8407018,0.06992166,0,0.02565561,0.02009805,0.2636815
75.01434,"2020-04-08 00:20:39",捷克,4735,0,121,78,4536,0.02555438,0.01647307,0.9579725,0.6446281,1.551282,1,,1,1,1,0.3919598,0.6080402,0.00333665,0,0.0003660333,0.0009755121,0.01341821
75.01434,"2020-04-08 00:20:39",摩尔多瓦,1056,0,30,17,1009,0.02840909,0.01609848,0.9554924,0.5666667,1.764706,1,,1,1,1,0.3617021,0.6382979,0.0007441399,0,9.075206E-05,0.0002126116,0.002984783
75.01434,"2020-04-08 00:20:39",斯洛文尼亚,1021,0,0,30,991,0,0.02938296,0.9706171,,0,1,,,1,0.9979859,1,0,0.0007194761,0,0,0.000375197,0.002931536
75.01434,"2020-04-08 00:20:39",新加坡,1481,0,377,6,1098,0.2545577,0.004051317,0.7413909,0.01591512,62.83333,1,,1,1,1,0.0156658,0.9843342,0.001043628,0,0.001140451,7.50394E-05,0.003248059
75.01434,"2020-04-08 00:20:39",柬埔寨,114,0,50,0,64,0.4385965,0,0.5614035,0,,1,,1,,0.627451,0,1,8.033329E-05,0,0.0001512534,0,0.0001893222
75.01434,"2020-04-08 00:20:39",特立尼达和多巴哥,103,0,0,6,97,0,0.05825243,0.9417475,,0,1,,,1,1,1,0,7.258182E-05,0,0,7.50394E-05,0.0002869415
75.01434,"2020-04-08 00:20:39",瑞士,21758,0,8056,778,12924,0.3702546,0.03575696,0.5939884,0.09657398,10.35476,1,,1,1,0.7604142,0.08806883,0.9119312,0.01533238,0,0.02436995,0.009730108,0.03823126
75.01434,"2020-04-08 00:20:39",直布罗陀,103,0,0,1,102,0,0.009708738,0.9902912,,0,1,,,1,1,1,0,7.258182E-05,0,0,1.250657E-05,0.0003017323
75.01434,"2020-04-08 00:20:39",立陶宛,843,0,1,14,828,0.00118624,0.01660736,0.9822064,14,0.07142857,1,,1,1,1,0.9333333,0.06666667,0.0005940435,0,3.025069E-06,0.0001750919,0.002449356
75.01434,"2020-04-08 00:20:39",美国,369069,0,20003,11018,338048,0.05419854,0.0298535,0.915948,0.5508174,1.815484,1,,1,1,1,0.3551787,0.6448212,0.2600748,0,0.06051045,0.1377973,1
75.01434,"2020-04-08 00:20:39",阿富汗,423,0,0,7,416,0,0.01654846,0.9834515,,0,1,,,1,1,1,0,0.0002980788,0,0,8.754596E-05,0.001230594
75.01434,"2020-04-08 00:20:39",黎巴嫩,548,0,60,19,469,0.1094891,0.03467153,0.8558394,0.3166667,3.157895,1,,1,1,1,0.2405063,0.7594936,0.0003861635,0,0.0001815041,0.0002376248,0.001387377
75.01012,"2020-04-08 00:14:35",圭亚那,31,0,0,5,26,0,0.1612903,0.8387097,,0,1,,,1,1,1,0,2.184502E-05,0,0,6.253283E-05,7.691215E-05
74.99812,"2020-04-07 23:57:17",丹麦,4681,0,894,187,3600,0.1909848,0.03994873,0.7690665,0.2091723,4.780749,1,,1,1,0.9977827,0.172988,0.827012,0.003298597,0,0.002704412,0.002338728,0.01064938
74.99812,"2020-04-07 23:57:17",乌兹别克斯坦,390,0,30,2,358,0.07692308,0.005128205,0.9179487,0.06666667,15,1,,1,1,1,0.0625,0.9375,0.0002748244,0,9.075206E-05,2.501313E-05,0.001059021
74.99812,"2020-04-07 23:57:17",乌拉圭,415,0,123,6,286,0.2963856,0.01445783,0.6891567,0.04878049,20.5,1,,1,1,0.8362573,0.04651163,0.9534883,0.0002924413,0,0.0003720835,7.50394E-05,0.0008460337
74.99812,"2020-04-07 23:57:17",乍得,9,0,0,0,9,0,0,1,,,1,,,,1,,,6.342101E-06,0,0,0,2.662344E-05
74.99812,"2020-04-07 23:57:17",亚美尼亚,853,0,87,8,758,0.101993,0.009378663,0.8886284,0.09195402,10.875,1,,1,1,0.9934469,0.08421053,0.9157895,0.0006010903,0,0.000263181,0.0001000525,0.002242285
74.99812,"2020-04-07 23:57:17",以色列,9006,0,683,60,8263,0.07583833,0.006662225,0.9174994,0.08784773,11.38333,1,,1,1,0.9993953,0.0807537,0.9192463,0.00634633,0,0.002066122,0.000750394,0.02444327
74.99812,"2020-04-07 23:57:17",伊朗,62589,0,27039,3872,31678,0.4320088,0.06186391,0.5061273,0.1432006,6.983213,1,,1,1,0.9509486,0.1252629,0.8747371,0.04410509,0,0.08179484,0.04842542,0.09370858
74.99812,"2020-04-07 23:57:17",伯利兹,5,0,0,0,5,0,0,1,,,1,,,,1,,,3.52339E-06,0,0,0,1.47908E-05
74.99812,"2020-04-07 23:57:17",俄罗斯,7497,0,494,58,6945,0.06589302,0.007736428,0.9263706,0.1174089,8.517241,1,,1,1,1,0.1050725,0.8949276,0.005282971,0,0.001494384,0.0007253808,0.02054442
74.99812,"2020-04-07 23:57:17",保加利亚,549,0,3,20,526,0.005464481,0.03642987,0.9581056,6.666667,0.15,1,,1,1,1,0.8695652,0.1304348,0.0003868682,0,9.075206E-06,0.0002501313,0.001555992
74.99812,"2020-04-07 23:57:17",克罗地亚,1222,0,130,15,1077,0.106383,0.01227496,0.8813421,0.1153846,8.666667,1,,1,1,0.9898897,0.1034483,0.8965517,0.0008611165,0,0.0003932589,0.0001875985,0.003185938
74.99812,"2020-04-07 23:57:17",冰岛,1562,0,460,6,1096,0.2944942,0.003841229,0.7016645,0.01304348,76.66666,1,,1,1,0.9699115,0.01287554,0.9871244,0.001100707,0,0.001391532,7.50394E-05,0.003242143
74.99812,"2020-04-07 23:57:17",几内亚,128,0,5,0,123,0.0390625,0,0.9609375,0,,1,,1,,1,0,1,9.019877E-05,0,1.512534E-05,0,0.0003638536
74.99812,"2020-04-07 23:57:17",几内亚比绍,33,0,0,0,33,0,0,1,,,1,,,,1,,,2.325437E-05,0,0,0,9.761928E-05
74.99812,"2020-04-07 23:57:17",列支敦士登,78,0,0,1,77,0,0.01282051,0.9871795,,0,1,,,1,1,1,0,5.496488E-05,0,0,1.250657E-05,0.0002277783
74.99812,"2020-04-07 23:57:17",刚果（布）,49,0,2,5,42,0.04081633,0.1020408,0.8571429,2.5,0.4,1,,1,1,1,0.7142857,0.2857143,3.452922E-05,0,6.050137E-06,6.253283E-05,0.0001242427
74.99812,"2020-04-07 23:57:17",利比亚,19,0,0,1,18,0,0.05263158,0.9473684,,0,1,,,1,1,1,0,1.338888E-05,0,0,1.250657E-05,5.324688E-05
74.99812,"2020-04-07 23:57:17",利比里亚,14,0,3,3,8,0.2142857,0.2142857,0.5714286,1,1,1,,1,1,1,0.5,0.5,9.865491E-06,0,9.075206E-06,3.75197E-05,2.366528E-05
74.99812,"2020-04-07 23:57:17",加拿大,16666,0,2770,323,13573,0.1662066,0.01938077,0.8144126,0.1166065,8.575851,1,,1,1,0.999779,0.1044294,0.8955706,0.01174416,0,0.008379441,0.004039621,0.0401511
74.99812,"2020-04-07 23:57:17",加蓬,30,0,1,1,28,0.03333334,0.03333334,0.9333333,1,1,1,,1,1,1,0.5,0.5,2.114034E-05,0,3.025069E-06,1.250657E-05,8.282848E-05
74.99812,"2020-04-07 23:57:17",匈牙利,817,0,71,47,699,0.0869033,0.05752754,0.8555692,0.6619718,1.510638,1,,1,1,1,0.3983051,0.6016949,0.0005757218,0,0.0002147799,0.0005878086,0.002067754
74.99812,"2020-04-07 23:57:17",北马其顿,570,0,30,21,519,0.05263158,0.0368421,0.9105263,0.7,1.428571,1,,1,1,0.9810964,0.4117647,0.5882353,0.0004016664,0,9.075206E-05,0.0002626379,0.001535285
