TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
37.86676,"2020-03-01 20:48:08",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
38.29661,"2020-03-02 07:07:07",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
38.33623,"2020-03-02 08:04:10",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
38.3639,"2020-03-02 08:44:01",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
38.57015,"2020-03-02 13:41:01",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
39.31321,"2020-03-03 07:31:01",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
39.33206,"2020-03-03 07:58:10",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
39.38281,"2020-03-03 09:11:15",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
40.30001,"2020-03-04 07:12:01",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
40.30981,"2020-03-04 07:26:08",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
41.44386,"2020-03-05 10:39:09",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
46.81252,"2020-03-10 19:30:02",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
48.37946,"2020-03-12 09:06:25",亚美尼亚,1,0,0,0,1,0,0,1,,,0.0002689618,,0,0,0.0004608295,,,2.314831E-07,0,0,0,9.458143E-07
48.6833,"2020-03-12 16:23:57",亚美尼亚,4,0,0,0,4,0,0,1,,,0.001075847,,0,0,0.001843318,,,9.259323E-07,0,0,0,3.783257E-06
48.79359,"2020-03-12 19:02:46",亚美尼亚,4,0,0,0,4,0,0,1,,,0.001075847,,0,0,0.001843318,,,9.259323E-07,0,0,0,3.783257E-06
49.30255,"2020-03-13 07:15:40",亚美尼亚,4,0,0,0,4,0,0,1,,,0.001075847,,0,0,0.001843318,,,9.259323E-07,0,0,0,3.783257E-06
49.64196,"2020-03-13 15:24:25",亚美尼亚,4,0,0,0,4,0,0,1,,,0.001075847,,0,0,0.001843318,,,9.259323E-07,0,0,0,3.783257E-06
