TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
-0.4656019,"2020-01-23 12:49:32",内蒙古,0,1,0,0,0,,,,,,0,,0,0,0,,,0,0.003021148,0,0,0
0.1522338,"2020-01-24 03:39:13",内蒙古,0,1,0,0,0,,,,,,0,,0,0,0,,,0,0.003021148,0,0,0
0.160081,"2020-01-24 03:50:31",内蒙古,0,1,0,0,0,,,,,,0,,0,0,0,,,0,0.003021148,0,0,0
0.4859028,"2020-01-24 11:39:42",内蒙古,1,0,0,0,1,0,0,1,,,0.006451613,,0,0,0.01333333,,,5.716556E-07,0,0,0,2.204338E-06
0.4880208,"2020-01-24 11:42:45",内蒙古,1,0,0,0,1,0,0,1,,,0.006451613,,0,0,0.01333333,,,5.716556E-07,0,0,0,2.204338E-06
0.5446875,"2020-01-24 13:04:21",内蒙古,2,0,0,0,2,0,0,1,,,0.01290323,,0,0,0.02666667,,,1.143311E-06,0,0,0,4.408676E-06
1.535799,"2020-01-25 12:51:33",内蒙古,2,0,0,0,2,0,0,1,,,0.01290323,,0,0,0.02666667,,,1.143311E-06,0,0,0,4.408676E-06
1.917211,"2020-01-25 22:00:47",内蒙古,2,0,0,0,2,0,0,1,,,0.01290323,,0,0,0.02666667,,,1.143311E-06,0,0,0,4.408676E-06
1.917905,"2020-01-25 22:01:47",内蒙古,7,0,0,0,7,0,0,1,,,0.04516129,,0,0,0.09333333,,,4.001589E-06,0,0,0,1.543036E-05
1.920023,"2020-01-25 22:04:50",内蒙古,7,0,0,0,7,0,0,1,,,0.04516129,,0,0,0.09333333,,,4.001589E-06,0,0,0,1.543036E-05
