TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
50.33821,"2020-03-14 08:07:01",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
50.45054,"2020-03-14 10:48:47",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
50.50932,"2020-03-14 12:13:25",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
50.80897,"2020-03-14 19:24:55",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
51.3074,"2020-03-15 07:22:39",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
51.50563,"2020-03-15 12:08:06",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
51.61229,"2020-03-15 14:41:42",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
51.61459,"2020-03-15 14:45:01",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
51.80852,"2020-03-15 19:24:16",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
52.05155,"2020-03-16 01:14:14",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
52.32323,"2020-03-16 07:45:27",危地马拉,1,0,0,0,1,0,0,1,,,0.0002529084,,,0,0.0002570034,,,1.698541E-07,0,0,0,8.175385E-07
