TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
-1.85544,"2020-01-22 03:28:10",台湾,1,0,0,0,1,0,0,1,,,0.002331002,0,0,0,0.003184713,,,3.188733E-07,0,0,0,1.193518E-06
0.1515278,"2020-01-24 03:38:12",台湾,1,0,0,0,1,0,0,1,,,0.002331002,0,0,0,0.003184713,,,3.188733E-07,0,0,0,1.193518E-06
0.160081,"2020-01-24 03:50:31",台湾,1,0,0,0,1,0,0,1,,,0.002331002,0,0,0,0.003184713,,,3.188733E-07,0,0,0,1.193518E-06
1.003704,"2020-01-25 00:05:20",台湾,3,0,0,0,3,0,0,1,,,0.006993007,0,0,0,0.00955414,,,9.566198E-07,0,0,0,3.580555E-06
2.866817,"2020-01-26 20:48:13",台湾,4,0,0,0,4,0,0,1,,,0.00932401,0,0,0,0.01273885,,,1.275493E-06,0,0,0,4.774073E-06
3.623727,"2020-01-27 14:58:10",台湾,5,0,0,0,5,0,0,1,,,0.01165501,0,0,0,0.01592357,,,1.594366E-06,0,0,0,5.967591E-06
4.708704,"2020-01-28 17:00:32",台湾,7,0,0,0,7,0,0,1,,,0.01631702,0,0,0,0.02229299,,,2.232113E-06,0,0,0,8.354627E-06
4.875011,"2020-01-28 21:00:01",台湾,8,0,0,0,8,0,0,1,,,0.01864802,0,0,0,0.02547771,,,2.550986E-06,0,0,0,9.548145E-06
6.750324,"2020-01-30 18:00:28",台湾,9,0,0,0,9,0,0,1,,,0.02097902,0,0,0,0.02866242,,,2.86986E-06,0,0,0,1.074166E-05
7.874352,"2020-01-31 20:59:04",台湾,10,0,1,0,9,0.1,0,0.9,0,,0.02331002,0,0.003257329,0,0.02866242,0,1,3.188733E-06,0,1.032514E-06,0,1.074166E-05
