TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
73.94088,"2020-04-06 22:34:52",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.31978,"2020-04-07 07:40:29",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.34789,"2020-04-07 08:20:57",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.41776,"2020-04-07 10:01:35",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.44663,"2020-04-07 10:43:09",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.53248,"2020-04-07 12:46:46",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.83573,"2020-04-07 20:03:27",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
74.99812,"2020-04-07 23:57:17",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
75.54249,"2020-04-08 13:01:11",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
75.80109,"2020-04-08 19:13:34",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
76.61929,"2020-04-09 14:51:46",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
76.8017,"2020-04-09 19:14:27",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
77.57396,"2020-04-10 13:46:30",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
79.53008,"2020-04-12 12:43:19",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
79.86665,"2020-04-12 20:47:58",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
82.32821,"2020-04-15 07:52:37",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
87.62536,"2020-04-20 15:00:31",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
88.37094,"2020-04-21 08:54:09",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
89.31422,"2020-04-22 07:32:29",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
90.88836,"2020-04-23 21:19:14",圣多美和普林西比,4,0,0,0,4,0,0,1,,,0.01923077,,,0,0.01970443,,,9.227508E-07,0,0,0,3.778408E-06
91.30553,"2020-04-24 07:19:58",圣多美和普林西比,7,0,0,0,7,0,0,1,,,0.03365385,,,0,0.03448276,,,1.614814E-06,0,0,0,6.612213E-06
91.41792,"2020-04-24 10:01:48",圣多美和普林西比,7,0,0,0,7,0,0,1,,,0.03365385,,,0,0.03448276,,,1.614814E-06,0,0,0,6.612213E-06
91.62132,"2020-04-24 14:54:42",圣多美和普林西比,7,0,0,0,7,0,0,1,,,0.03365385,,,0,0.03448276,,,1.614814E-06,0,0,0,6.612213E-06
91.86493,"2020-04-24 20:45:30",圣多美和普林西比,7,0,0,0,7,0,0,1,,,0.03365385,,,0,0.03448276,,,1.614814E-06,0,0,0,6.612213E-06
92.30549,"2020-04-25 07:19:54",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
92.40874,"2020-04-25 09:48:35",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
92.41789,"2020-04-25 10:01:46",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
92.42705,"2020-04-25 10:14:57",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
92.59807,"2020-04-25 14:21:13",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
92.84248,"2020-04-25 20:13:10",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
93.36009,"2020-04-26 08:38:32",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
93.60368,"2020-04-26 14:29:18",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
93.82967,"2020-04-26 19:54:43",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
95.48621,"2020-04-28 11:40:09",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
96.6151,"2020-04-29 14:45:45",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
96.81808,"2020-04-29 19:38:02",圣多美和普林西比,8,0,0,0,8,0,0,1,,,0.03846154,,,0,0.03940887,,,1.845502E-06,0,0,0,7.556815E-06
97.30281,"2020-04-30 07:16:03",圣多美和普林西比,11,0,0,0,11,0,0,1,,,0.05288462,,,0,0.05418719,,,2.537565E-06,0,0,0,1.039062E-05
97.41779,"2020-04-30 10:01:37",圣多美和普林西比,11,0,0,0,11,0,0,1,,,0.05288462,,,0,0.05418719,,,2.537565E-06,0,0,0,1.039062E-05
97.79844,"2020-04-30 19:09:45",圣多美和普林西比,11,0,0,0,11,0,0,1,,,0.05288462,,,0,0.05418719,,,2.537565E-06,0,0,0,1.039062E-05
