TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
42.88475,"2020-03-06 21:14:02",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
43.29515,"2020-03-07 07:05:01",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
43.3021,"2020-03-07 07:15:02",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
43.73057,"2020-03-07 17:32:01",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
43.7903,"2020-03-07 18:58:02",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
44.30164,"2020-03-08 07:14:22",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
45.50695,"2020-03-09 12:10:01",塞尔维亚,1,0,0,0,1,0,0,1,,,0.0008438819,,,0,0.0008665511,,,9.017702E-07,0,0,0,4.34188E-06
46.31154,"2020-03-10 07:28:37",塞尔维亚,2,0,0,0,2,0,0,1,,,0.001687764,,,0,0.001733102,,,1.80354E-06,0,0,0,8.683759E-06
46.49775,"2020-03-10 11:56:46",塞尔维亚,2,0,0,0,2,0,0,1,,,0.001687764,,,0,0.001733102,,,1.80354E-06,0,0,0,8.683759E-06
46.52793,"2020-03-10 12:40:13",塞尔维亚,2,0,0,0,2,0,0,1,,,0.001687764,,,0,0.001733102,,,1.80354E-06,0,0,0,8.683759E-06
46.81252,"2020-03-10 19:30:02",塞尔维亚,2,0,0,0,2,0,0,1,,,0.001687764,,,0,0.001733102,,,1.80354E-06,0,0,0,8.683759E-06
46.8591,"2020-03-10 20:37:06",塞尔维亚,4,0,0,0,4,0,0,1,,,0.003375527,,,0,0.003466205,,,3.607081E-06,0,0,0,1.736752E-05
47.30168,"2020-03-11 07:14:25",塞尔维亚,4,0,0,0,4,0,0,1,,,0.003375527,,,0,0.003466205,,,3.607081E-06,0,0,0,1.736752E-05
47.34124,"2020-03-11 08:11:23",塞尔维亚,4,0,0,0,4,0,0,1,,,0.003375527,,,0,0.003466205,,,3.607081E-06,0,0,0,1.736752E-05
47.46568,"2020-03-11 11:10:35",塞尔维亚,4,0,0,0,4,0,0,1,,,0.003375527,,,0,0.003466205,,,3.607081E-06,0,0,0,1.736752E-05
47.58109,"2020-03-11 13:56:46",塞尔维亚,4,0,0,0,4,0,0,1,,,0.003375527,,,0,0.003466205,,,3.607081E-06,0,0,0,1.736752E-05
47.74694,"2020-03-11 17:55:36",塞尔维亚,5,0,0,0,5,0,0,1,,,0.004219409,,,0,0.004332756,,,4.508851E-06,0,0,0,2.17094E-05
47.78461,"2020-03-11 18:49:50",塞尔维亚,5,0,0,0,5,0,0,1,,,0.004219409,,,0,0.004332756,,,4.508851E-06,0,0,0,2.17094E-05
48.29858,"2020-03-12 07:09:57",塞尔维亚,5,0,0,0,5,0,0,1,,,0.004219409,,,0,0.004332756,,,4.508851E-06,0,0,0,2.17094E-05
48.32023,"2020-03-12 07:41:08",塞尔维亚,18,0,0,0,18,0,0,1,,,0.01518987,,,0,0.01559792,,,1.623186E-05,0,0,0,7.815383E-05
48.33897,"2020-03-12 08:08:07",塞尔维亚,18,0,0,0,18,0,0,1,,,0.01518987,,,0,0.01559792,,,1.623186E-05,0,0,0,7.815383E-05
48.37946,"2020-03-12 09:06:25",塞尔维亚,18,0,0,0,18,0,0,1,,,0.01518987,,,0,0.01559792,,,1.623186E-05,0,0,0,7.815383E-05
48.54516,"2020-03-12 13:05:02",塞尔维亚,18,0,0,0,18,0,0,1,,,0.01518987,,,0,0.01559792,,,1.623186E-05,0,0,0,7.815383E-05
48.73457,"2020-03-12 17:37:47",塞尔维亚,19,0,0,0,19,0,0,1,,,0.01603376,,,0,0.01646447,,,1.713363E-05,0,0,0,8.249571E-05
48.79359,"2020-03-12 19:02:46",塞尔维亚,19,0,0,0,19,0,0,1,,,0.01603376,,,0,0.01646447,,,1.713363E-05,0,0,0,8.249571E-05
49.30255,"2020-03-13 07:15:40",塞尔维亚,19,0,0,0,19,0,0,1,,,0.01603376,,,0,0.01646447,,,1.713363E-05,0,0,0,8.249571E-05
49.34104,"2020-03-13 08:11:06",塞尔维亚,24,0,0,0,24,0,0,1,,,0.02025316,,,0,0.02079723,,,2.164249E-05,0,0,0,0.0001042051
49.37281,"2020-03-13 08:56:51",塞尔维亚,24,0,0,0,24,0,0,1,,,0.02025316,,,0,0.02079723,,,2.164249E-05,0,0,0,0.0001042051
49.64196,"2020-03-13 15:24:25",塞尔维亚,24,0,0,0,24,0,0,1,,,0.02025316,,,0,0.02079723,,,2.164249E-05,0,0,0,0.0001042051
49.66941,"2020-03-13 16:03:57",塞尔维亚,31,0,0,0,31,0,0,1,,,0.02616034,,,0,0.02686309,,,2.795487E-05,0,0,0,0.0001345983
49.70602,"2020-03-13 16:56:40",塞尔维亚,31,0,0,0,31,0,0,1,,,0.02616034,,,0,0.02686309,,,2.795487E-05,0,0,0,0.0001345983
49.76485,"2020-03-13 18:21:23",塞尔维亚,31,0,0,0,31,0,0,1,,,0.02616034,,,0,0.02686309,,,2.795487E-05,0,0,0,0.0001345983
50.29789,"2020-03-14 07:08:58",塞尔维亚,31,0,0,0,31,0,0,1,,,0.02616034,,,0,0.02686309,,,2.795487E-05,0,0,0,0.0001345983
50.35111,"2020-03-14 08:25:36",塞尔维亚,35,0,0,0,35,0,0,1,,,0.02953587,,,0,0.03032929,,,3.156195E-05,0,0,0,0.0001519658
50.45054,"2020-03-14 10:48:47",塞尔维亚,35,0,0,0,35,0,0,1,,,0.02953587,,,0,0.03032929,,,3.156195E-05,0,0,0,0.0001519658
50.50932,"2020-03-14 12:13:25",塞尔维亚,35,0,0,0,35,0,0,1,,,0.02953587,,,0,0.03032929,,,3.156195E-05,0,0,0,0.0001519658
50.74319,"2020-03-14 17:50:12",塞尔维亚,41,0,0,0,41,0,0,1,,,0.03459916,,,0,0.0355286,,,3.697258E-05,0,0,0,0.0001780171
50.80897,"2020-03-14 19:24:55",塞尔维亚,41,0,0,0,41,0,0,1,,,0.03459916,,,0,0.0355286,,,3.697258E-05,0,0,0,0.0001780171
50.86271,"2020-03-14 20:42:18",塞尔维亚,41,0,0,0,41,0,0,1,,,0.03459916,,,0,0.0355286,,,3.697258E-05,0,0,0,0.0001780171
51.3074,"2020-03-15 07:22:39",塞尔维亚,41,0,0,0,41,0,0,1,,,0.03459916,,,0,0.0355286,,,3.697258E-05,0,0,0,0.0001780171
51.48414,"2020-03-15 11:37:10",塞尔维亚,46,0,0,0,46,0,0,1,,,0.03881856,,,0,0.03986135,,,4.148143E-05,0,0,0,0.0001997265
51.50563,"2020-03-15 12:08:06",塞尔维亚,46,0,0,0,46,0,0,1,,,0.03881856,,,0,0.03986135,,,4.148143E-05,0,0,0,0.0001997265
51.61229,"2020-03-15 14:41:42",塞尔维亚,46,0,0,0,46,0,0,1,,,0.03881856,,,0,0.03986135,,,4.148143E-05,0,0,0,0.0001997265
51.61459,"2020-03-15 14:45:01",塞尔维亚,46,0,0,0,46,0,0,1,,,0.03881856,,,0,0.03986135,,,4.148143E-05,0,0,0,0.0001997265
51.80852,"2020-03-15 19:24:16",塞尔维亚,46,0,0,0,46,0,0,1,,,0.03881856,,,0,0.03986135,,,4.148143E-05,0,0,0,0.0001997265
52.05155,"2020-03-16 01:14:14",塞尔维亚,46,0,0,0,46,0,0,1,,,0.03881856,,,0,0.03986135,,,4.148143E-05,0,0,0,0.0001997265
52.32067,"2020-03-16 07:41:46",塞尔维亚,48,0,0,0,48,0,0,1,,,0.04050633,,,0,0.04159445,,,4.328497E-05,0,0,0,0.0002084102
52.32323,"2020-03-16 07:45:27",塞尔维亚,48,0,0,0,48,0,0,1,,,0.04050633,,,0,0.04159445,,,4.328497E-05,0,0,0,0.0002084102
52.56194,"2020-03-16 13:29:12",塞尔维亚,48,0,0,0,48,0,0,1,,,0.04050633,,,0,0.04159445,,,4.328497E-05,0,0,0,0.0002084102
52.60354,"2020-03-16 14:29:06",塞尔维亚,48,0,0,0,48,0,0,1,,,0.04050633,,,0,0.04159445,,,4.328497E-05,0,0,0,0.0002084102
52.62066,"2020-03-16 14:53:45",塞尔维亚,48,0,0,0,48,0,0,1,,,0.04050633,,,0,0.04159445,,,4.328497E-05,0,0,0,0.0002084102
53.02423,"2020-03-17 00:34:54",塞尔维亚,55,0,0,0,55,0,0,1,,,0.0464135,,,0,0.04766031,,,4.959736E-05,0,0,0,0.0002388034
53.10829,"2020-03-17 02:35:56",塞尔维亚,57,0,0,0,57,0,0,1,,,0.04810126,,,0,0.04939342,,,5.14009E-05,0,0,0,0.0002474871
53.15181,"2020-03-17 03:38:36",塞尔维亚,57,0,0,0,57,0,0,1,,,0.04810126,,,0,0.04939342,,,5.14009E-05,0,0,0,0.0002474871
53.31757,"2020-03-17 07:37:18",塞尔维亚,57,0,0,0,57,0,0,1,,,0.04810126,,,0,0.04939342,,,5.14009E-05,0,0,0,0.0002474871
53.32051,"2020-03-17 07:41:32",塞尔维亚,57,0,0,0,57,0,0,1,,,0.04810126,,,0,0.04939342,,,5.14009E-05,0,0,0,0.0002474871
53.34257,"2020-03-17 08:13:18",塞尔维亚,57,0,0,0,57,0,0,1,,,0.04810126,,,0,0.04939342,,,5.14009E-05,0,0,0,0.0002474871
