TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
3.72272,"2020-01-27 17:20:43",新加坡,4,0,0,0,4,0,0,1,,,0.001081373,,0,0,0.001317089,,,1.875098E-06,0,0,0,7.19114E-06
4.275301,"2020-01-28 06:36:26",新加坡,5,0,0,0,5,0,0,1,,,0.001351717,,0,0,0.001646362,,,2.343872E-06,0,0,0,8.988925E-06
5.487928,"2020-01-29 11:42:37",新加坡,7,0,0,0,7,0,0,1,,,0.001892403,,0,0,0.002304906,,,3.281421E-06,0,0,0,1.25845E-05
5.830151,"2020-01-29 19:55:25",新加坡,10,0,0,0,10,0,0,1,,,0.002703433,,0,0,0.003292723,,,4.687744E-06,0,0,0,1.797785E-05
7.586401,"2020-01-31 14:04:25",新加坡,13,0,0,0,13,0,0,1,,,0.003514463,,0,0,0.00428054,,,6.094068E-06,0,0,0,2.337121E-05
8.116817,"2020-02-01 02:48:13",新加坡,13,0,0,0,13,0,0,1,,,0.003514463,,0,0,0.00428054,,,6.094068E-06,0,0,0,2.337121E-05
8.473137,"2020-02-01 11:21:19",新加坡,16,0,0,0,16,0,0,1,,,0.004325493,,0,0,0.005268357,,,7.500391E-06,0,0,0,2.876456E-05
9.539745,"2020-02-02 12:57:14",新加坡,18,0,0,0,18,0,0,1,,,0.00486618,,0,0,0.005926901,,,8.437941E-06,0,0,0,3.236013E-05
11.97964,"2020-02-04 23:30:41",新加坡,24,0,0,0,24,0,0,1,,,0.00648824,,0,0,0.007902536,,,1.125059E-05,0,0,0,4.314684E-05
13.02006,"2020-02-06 00:28:53",新加坡,28,0,0,0,28,0,0,1,,,0.007569613,,0,0,0.009219625,,,1.312568E-05,0,0,0,5.033799E-05
14.45918,"2020-02-07 11:01:13",新加坡,30,0,0,0,30,0,0,1,,,0.0081103,,0,0,0.009878169,,,1.406323E-05,0,0,0,5.393355E-05
