TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
3.72272,"2020-01-27 17:20:43",日本,4,0,1,0,3,0.25,0,0.75,0,,0.0004996253,,0.002475247,0,0.0004026305,0,1,2.025108E-06,0,1.90922E-06,0,5.828434E-06
4.739572,"2020-01-28 17:44:59",日本,6,0,1,0,5,0.1666667,0,0.8333333,0,,0.0007494379,,0.002475247,0,0.0006710509,0,1,3.037663E-06,0,1.90922E-06,0,9.714057E-06
4.833611,"2020-01-28 20:00:24",日本,7,0,1,0,6,0.1428571,0,0.8571429,0,,0.0008743443,,0.002475247,0,0.000805261,0,1,3.54394E-06,0,1.90922E-06,0,1.165687E-05
6.375093,"2020-01-30 09:00:08",日本,10,0,1,0,9,0.1,0,0.9,0,,0.001249063,,0.002475247,0,0.001207892,0,1,5.062771E-06,0,1.90922E-06,0,1.74853E-05
6.388391,"2020-01-30 09:19:17",日本,11,0,1,0,10,0.09090909,0,0.9090909,0,,0.001373969,,0.002475247,0,0.001342102,0,1,5.569048E-06,0,1.90922E-06,0,1.942811E-05
7.593357,"2020-01-31 14:14:26",日本,14,0,1,0,13,0.07142857,0,0.9285714,0,,0.001748689,,0.002475247,0,0.001744732,0,1,7.087879E-06,0,1.90922E-06,0,2.525655E-05
7.766192,"2020-01-31 18:23:19",日本,15,0,1,0,14,0.06666667,0,0.9333333,0,,0.001873595,,0.002475247,0,0.001878942,0,1,7.594156E-06,0,1.90922E-06,0,2.719936E-05
8.116817,"2020-02-01 02:48:13",日本,15,0,1,0,14,0.06666667,0,0.9333333,0,,0.001873595,,0.002475247,0,0.001878942,0,1,7.594156E-06,0,1.90922E-06,0,2.719936E-05
8.866493,"2020-02-01 20:47:45",日本,20,0,1,0,19,0.05,0,0.95,0,,0.002498126,,0.002475247,0,0.002549993,0,1,1.012554E-05,0,1.90922E-06,0,3.691342E-05
12.99758,"2020-02-05 23:56:31",日本,35,0,1,0,34,0.02857143,0,0.9714286,0,,0.004371721,,0.002475247,0,0.004563146,0,1,1.77197E-05,0,1.90922E-06,0,6.605559E-05
13.4987,"2020-02-06 11:58:08",日本,45,0,1,0,44,0.02222222,0,0.9777778,0,,0.005620785,,0.002475247,0,0.005905248,0,1,2.278247E-05,0,1.90922E-06,0,8.548371E-05
14.45918,"2020-02-07 11:01:13",日本,86,0,1,0,85,0.01162791,0,0.9883721,0,,0.01074194,,0.002475247,0,0.01140786,0,1,4.353983E-05,0,1.90922E-06,0,0.000165139
15.61438,"2020-02-08 14:44:42",日本,89,0,1,0,88,0.01123596,0,0.988764,0,,0.01111666,,0.002475247,0,0.0118105,0,1,4.505866E-05,0,1.90922E-06,0,0.0001709674
17.58954,"2020-02-10 14:08:56",日本,89,0,1,0,88,0.01123596,0,0.988764,0,,0.01111666,,0.002475247,0,0.0118105,0,1,4.505866E-05,0,1.90922E-06,0,0.0001709674
17.63887,"2020-02-10 15:19:58",日本,156,0,1,0,155,0.006410256,0,0.9935898,0,,0.01948539,,0.002475247,0,0.02080258,0,1,7.897922E-05,0,1.90922E-06,0,0.0003011358
17.64382,"2020-02-10 15:27:06",日本,156,0,1,0,155,0.006410256,0,0.9935898,0,,0.01948539,,0.002475247,0,0.02080258,0,1,7.897922E-05,0,1.90922E-06,0,0.0003011358
17.69962,"2020-02-10 16:47:27",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
17.83306,"2020-02-10 19:59:36",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
17.85282,"2020-02-10 20:28:04",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
18.31115,"2020-02-11 07:28:03",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
18.34216,"2020-02-11 08:12:43",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
18.34921,"2020-02-11 08:22:52",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
18.39648,"2020-02-11 09:30:56",日本,156,0,4,0,152,0.02564103,0,0.974359,0,,0.01948539,,0.00990099,0,0.02039995,0,1,7.897922E-05,0,7.636881E-06,0,0.0002953073
18.44736,"2020-02-11 10:44:12",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
18.45019,"2020-02-11 10:48:16",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
18.53716,"2020-02-11 12:53:31",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
18.67737,"2020-02-11 16:15:25",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
18.7851,"2020-02-11 18:50:33",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
18.80635,"2020-02-11 19:21:09",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
19.31034,"2020-02-12 07:26:53",日本,161,0,9,0,152,0.05590062,0,0.9440994,0,,0.02010992,,0.02227723,0,0.02039995,0,1,8.151061E-05,0,1.718298E-05,0,0.0002953073
19.33611,"2020-02-12 08:04:00",日本,163,0,9,0,154,0.05521473,0,0.9447853,0,,0.02035973,,0.02227723,0,0.02066837,0,1,8.252316E-05,0,1.718298E-05,0,0.000299193
19.33898,"2020-02-12 08:08:08",日本,163,0,9,0,154,0.05521473,0,0.9447853,0,,0.02035973,,0.02227723,0,0.02066837,0,1,8.252316E-05,0,1.718298E-05,0,0.000299193
