TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
-1.040266,"2020-01-22 23:02:01",河北,1,0,0,0,1,0,0,1,,,0.003058104,,0,0,0.004739337,,,6.360219E-07,0,0,0,2.541264E-06
0.02412037,"2020-01-24 00:34:44",河北,1,0,0,1,0,0,1,0,,0,0.003058104,,0,0.1666667,0,1,0,6.360219E-07,0,0,1.091048E-05,0
0.1430208,"2020-01-24 03:25:57",河北,1,0,0,1,0,0,1,0,,0,0.003058104,,0,0.1666667,0,1,0,6.360219E-07,0,0,1.091048E-05,0
0.160081,"2020-01-24 03:50:31",河北,1,0,0,1,0,0,1,0,,0,0.003058104,,0,0.1666667,0,1,0,6.360219E-07,0,0,1.091048E-05,0
0.4150926,"2020-01-24 09:57:44",河北,2,0,0,1,1,0,0.5,0.5,,0,0.006116208,,0,0.1666667,0.004739337,1,0,1.272044E-06,0,0,1.091048E-05,2.541264E-06
0.4214005,"2020-01-24 10:06:49",河北,2,0,0,1,1,0,0.5,0.5,,0,0.006116208,,0,0.1666667,0.004739337,1,0,1.272044E-06,0,0,1.091048E-05,2.541264E-06
0.700706,"2020-01-24 16:49:01",河北,2,0,0,1,1,0,0.5,0.5,,0,0.006116208,,0,0.1666667,0.004739337,1,0,1.272044E-06,0,0,1.091048E-05,2.541264E-06
0.7210764,"2020-01-24 17:18:21",河北,2,0,0,1,1,0,0.5,0.5,,0,0.006116208,,0,0.1666667,0.004739337,1,0,1.272044E-06,0,0,1.091048E-05,2.541264E-06
1.410949,"2020-01-25 09:51:46",河北,8,0,0,1,7,0,0.125,0.875,,0,0.02446483,,0,0.1666667,0.03317536,1,0,5.088175E-06,0,0,1.091048E-05,1.778885E-05
1.47125,"2020-01-25 11:18:36",河北,8,0,0,1,7,0,0.125,0.875,,0,0.02446483,,0,0.1666667,0.03317536,1,0,5.088175E-06,0,0,1.091048E-05,1.778885E-05
1.471944,"2020-01-25 11:19:36",河北,8,0,0,1,7,0,0.125,0.875,,0,0.02446483,,0,0.1666667,0.03317536,1,0,5.088175E-06,0,0,1.091048E-05,1.778885E-05
