TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadDivideCuredNorm,ParentCuredDivideDeadNorm,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
50.80898,"2020-03-14 19:24:55.661",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
50.86272,"2020-03-14 20:42:18.951",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
51.3074,"2020-03-15 07:22:39.465",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
51.3097,"2020-03-15 07:25:57.909",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
51.50563,"2020-03-15 12:08:06.931",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
51.6123,"2020-03-15 14:41:42.654",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
51.6146,"2020-03-15 14:45:01.600",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
51.80852,"2020-03-15 19:24:16.374",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
52.05155,"2020-03-16 01:14:14.059",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
52.32323,"2020-03-16 07:45:27.016",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
52.56195,"2020-03-16 13:29:12.358",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
52.60355,"2020-03-16 14:29:06.703",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
52.62066,"2020-03-16 14:53:45.409",留尼汪,3,0,0,0,3,0,0,1,,,0.5,,,,0.5,,,1.148382E-05,,0,0,5.924989E-05
52.71853,"2020-03-16 17:14:40.887",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
52.72265,"2020-03-16 17:20:37.204",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
52.90905,"2020-03-16 21:49:01.800",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
52.96822,"2020-03-16 23:14:14.671",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
52.99842,"2020-03-16 23:57:43.501",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
53.02424,"2020-03-17 00:34:54.625",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
53.15181,"2020-03-17 03:38:36.400",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
53.32051,"2020-03-17 07:41:32.108",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
53.34257,"2020-03-17 08:13:18.257",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
53.35588,"2020-03-17 08:32:28.482",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
53.5823,"2020-03-17 13:58:30.913",留尼汪,6,0,0,0,6,0,0,1,,,1,,,,1,,,2.296765E-05,,0,0,0.0001184998
