TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
8.931423,"2020-02-01 22:21:15",菲律宾,1,0,0,0,1,0,0,1,,,5.365382E-05,,0,0,7.299803E-05,,,1.605205E-07,0,0,0,7.982719E-07
9.471713,"2020-02-02 11:19:16",菲律宾,2,0,0,0,2,0,0,1,,,0.0001073076,,0,0,0.0001459961,,,3.210411E-07,0,0,0,1.596544E-06
9.480787,"2020-02-02 11:32:20",菲律宾,2,0,0,1,1,0,0.5,0.5,,0,0.0001073076,,0,0.001041667,7.299803E-05,1,0,3.210411E-07,0,0,2.654005E-06,7.982719E-07
15.6411,"2020-02-08 15:23:11",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
17.58954,"2020-02-10 14:08:56",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
17.63887,"2020-02-10 15:19:58",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
17.64382,"2020-02-10 15:27:06",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
17.83306,"2020-02-10 19:59:36",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
17.85282,"2020-02-10 20:28:04",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
18.31115,"2020-02-11 07:28:03",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
18.34921,"2020-02-11 08:22:52",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
18.39648,"2020-02-11 09:30:56",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
18.80635,"2020-02-11 19:21:09",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
19.31034,"2020-02-12 07:26:53",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
19.38577,"2020-02-12 09:15:31",菲律宾,3,0,0,1,2,0,0.3333333,0.6666667,,0,0.0001609615,,0,0.001041667,0.0001459961,1,0,4.815616E-07,0,0,2.654005E-06,1.596544E-06
19.64979,"2020-02-12 15:35:42",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
19.79744,"2020-02-12 19:08:19",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
19.93311,"2020-02-12 22:23:41",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.01333,"2020-02-13 00:19:12",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.01841,"2020-02-13 00:26:31",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.04012,"2020-02-13 00:57:46",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.2886,"2020-02-13 06:55:35",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.34736,"2020-02-13 08:20:12",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.56064,"2020-02-13 13:27:19",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.76851,"2020-02-13 18:26:39",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
20.80861,"2020-02-13 19:24:24",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
21.30556,"2020-02-14 07:20:00",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
21.30701,"2020-02-14 07:22:06",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
22.31102,"2020-02-15 07:27:52",菲律宾,3,0,1,1,1,0.3333333,0.3333333,0.3333333,1,1,0.0001609615,,0.0002513194,0.001041667,7.299803E-05,0.5,0.5,4.815616E-07,0,3.756871E-07,2.654005E-06,7.982719E-07
