TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
54.33307,"2020-03-18 07:59:37",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.33532,"2020-03-18 08:02:52",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.34127,"2020-03-18 08:11:26",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.348,"2020-03-18 08:21:07",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.35096,"2020-03-18 08:25:23",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.40119,"2020-03-18 09:37:43",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.40496,"2020-03-18 09:43:09",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.44709,"2020-03-18 10:43:49",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.47322,"2020-03-18 11:21:26",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.49352,"2020-03-18 11:50:40",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
54.50781,"2020-03-18 12:11:15",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
55.03998,"2020-03-19 00:57:34",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
55.54133,"2020-03-19 12:59:31",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
55.89919,"2020-03-19 21:34:50",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
55.90145,"2020-03-19 21:38:05",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
55.95621,"2020-03-19 22:56:57",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
55.95715,"2020-03-19 22:58:18",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
56.00724,"2020-03-20 00:10:26",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
56.56397,"2020-03-20 13:32:07",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
56.97859,"2020-03-20 23:29:10",贝宁,1,0,0,0,1,0,0,1,,,0.002949852,,0,0,0.003636364,,,1.768546E-07,0,0,0,8.303124E-07
57.41876,"2020-03-21 10:03:01",贝宁,2,0,0,0,2,0,0,1,,,0.005899705,,0,0,0.007272727,,,3.537092E-07,0,0,0,1.660625E-06
