TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
-1.85544,"2020-01-22 03:28:10",香港,0,117,0,0,0,,,,,,0,2.489362,0,0,0,,,0,0.07905406,0,0,0
-0.6273148,"2020-01-23 08:56:40",香港,1,117,0,0,1,0,0,1,,,0.0009523809,2.489362,0,0,0.001398601,,,2.281145E-07,0.07905406,0,0,9.418724E-07
-0.2000116,"2020-01-23 19:11:59",香港,3,115,0,0,3,0,0,1,,,0.002857143,2.446809,0,0,0.004195804,,,6.843434E-07,0.0777027,0,0,2.825617E-06
-0.05835648,"2020-01-23 22:35:58",香港,2,115,0,0,2,0,0,1,,,0.001904762,2.446809,0,0,0.002797203,,,4.562289E-07,0.0777027,0,0,1.883745E-06
-0.03650463,"2020-01-23 23:07:26",香港,2,65,0,0,2,0,0,1,,,0.001904762,1.382979,0,0,0.002797203,,,4.562289E-07,0.04391892,0,0,1.883745E-06
0.1508218,"2020-01-24 03:37:11",香港,2,0,0,0,2,0,0,1,,,0.001904762,0,0,0,0.002797203,,,4.562289E-07,0,0,0,1.883745E-06
0.160081,"2020-01-24 03:50:31",香港,2,0,0,0,2,0,0,1,,,0.001904762,0,0,0,0.002797203,,,4.562289E-07,0,0,0,1.883745E-06
1.413056,"2020-01-25 09:54:48",香港,5,0,0,0,5,0,0,1,,,0.004761905,0,0,0,0.006993007,,,1.140572E-06,0,0,0,4.709362E-06
3.007824,"2020-01-27 00:11:16",香港,8,0,0,0,8,0,0,1,,,0.007619048,0,0,0,0.01118881,,,1.824916E-06,0,0,0,7.534979E-06
5.800069,"2020-01-29 19:12:06",香港,10,0,0,0,10,0,0,1,,,0.00952381,0,0,0,0.01398601,,,2.281145E-06,0,0,0,9.418723E-06
7.337778,"2020-01-31 08:06:24",香港,12,0,0,0,12,0,0,1,,,0.01142857,0,0,0,0.01678322,,,2.737374E-06,0,0,0,1.130247E-05
8.539213,"2020-02-01 12:56:28",香港,13,0,0,0,13,0,0,1,,,0.01238095,0,0,0,0.01818182,,,2.965488E-06,0,0,0,1.224434E-05
9.376331,"2020-02-02 09:01:55",香港,14,0,0,0,14,0,0,1,,,0.01333333,0,0,0,0.01958042,,,3.193603E-06,0,0,0,1.318621E-05
10.39484,"2020-02-03 09:28:34",香港,15,0,0,0,15,0,0,1,,,0.01428571,0,0,0,0.02097902,,,3.421717E-06,0,0,0,1.412809E-05
11.46949,"2020-02-04 11:16:04",香港,15,0,0,1,14,0,0.06666667,0.9333333,,0,0.01428571,0,0,0.25,0.01958042,1,0,3.421717E-06,0,0,3.328795E-06,1.318621E-05
11.71067,"2020-02-04 17:03:22",香港,17,0,0,1,16,0,0.05882353,0.9411765,,0,0.01619048,0,0,0.25,0.02237762,1,0,3.877946E-06,0,0,3.328795E-06,1.506996E-05
12.43816,"2020-02-05 10:30:57",香港,18,0,0,1,17,0,0.05555556,0.9444444,,0,0.01714286,0,0,0.25,0.02377622,1,0,4.10606E-06,0,0,3.328795E-06,1.601183E-05
12.88102,"2020-02-05 21:08:40",香港,21,0,0,1,20,0,0.04761905,0.952381,,0,0.02,0,0,0.25,0.02797203,1,0,4.790404E-06,0,0,3.328795E-06,1.883745E-05
13.94529,"2020-02-06 22:41:13",香港,24,0,0,1,23,0,0.04166667,0.9583333,,0,0.02285714,0,0,0.25,0.03216783,1,0,5.474747E-06,0,0,3.328795E-06,2.166306E-05
14.82642,"2020-02-07 19:50:03",香港,25,0,0,1,24,0,0.04,0.96,,0,0.02380952,0,0,0.25,0.03356643,1,0,5.702862E-06,0,0,3.328795E-06,2.260494E-05
15.33282,"2020-02-08 07:59:16",香港,26,0,0,1,25,0,0.03846154,0.9615384,,0,0.0247619,0,0,0.25,0.03496503,1,0,5.930976E-06,0,0,3.328795E-06,2.354681E-05
16.73838,"2020-02-09 17:43:16",香港,29,0,0,1,28,0,0.03448276,0.9655172,,0,0.02761905,0,0,0.25,0.03916084,1,0,6.61532E-06,0,0,3.328795E-06,2.637243E-05
17.3322,"2020-02-10 07:58:22",香港,36,0,0,1,35,0,0.02777778,0.9722222,,0,0.03428571,0,0,0.25,0.04895105,1,0,8.212121E-06,0,0,3.328795E-06,3.296553E-05
17.75546,"2020-02-10 18:07:52",香港,38,0,0,1,37,0,0.02631579,0.9736842,,0,0.03619048,0,0,0.25,0.05174825,1,0,8.668349E-06,0,0,3.328795E-06,3.484928E-05
18.41697,"2020-02-11 10:00:26",香港,42,0,0,1,41,0,0.02380952,0.9761904,,0,0.04,0,0,0.25,0.05734266,1,0,9.580807E-06,0,0,3.328795E-06,3.861677E-05
18.73547,"2020-02-11 17:39:05",香港,49,0,0,1,48,0,0.02040816,0.9795918,,0,0.04666667,0,0,0.25,0.06713287,1,0,1.117761E-05,0,0,3.328795E-06,4.520987E-05
19.74311,"2020-02-12 17:50:05",香港,50,0,1,1,48,0.02,0.02,0.96,1,1,0.04761905,0,0.0009920635,0.25,0.06713287,0.5,0.5,1.140572E-05,0,6.29955E-07,3.328795E-06,4.520987E-05
20.01333,"2020-02-13 00:19:12",香港,50,0,1,1,48,0.02,0.02,0.96,1,1,0.04761905,0,0.0009920635,0.25,0.06713287,0.5,0.5,1.140572E-05,0,6.29955E-07,3.328795E-06,4.520987E-05
20.72242,"2020-02-13 17:20:17",香港,51,0,1,1,49,0.01960784,0.01960784,0.9607843,1,1,0.04857143,0,0.0009920635,0.25,0.06853147,0.5,0.5,1.163384E-05,0,6.29955E-07,3.328795E-06,4.615174E-05
20.9525,"2020-02-13 22:51:36",香港,53,0,1,1,51,0.01886792,0.01886792,0.9622642,1,1,0.05047619,0,0.0009920635,0.25,0.07132867,0.5,0.5,1.209007E-05,0,6.29955E-07,3.328795E-06,4.803549E-05
21.70793,"2020-02-14 16:59:25",香港,56,0,1,1,54,0.01785714,0.01785714,0.9642857,1,1,0.05333333,0,0.0009920635,0.25,0.07552448,0.5,0.5,1.277441E-05,0,6.29955E-07,3.328795E-06,5.086111E-05
23.73139,"2020-02-16 17:33:12",香港,56,0,2,1,53,0.03571429,0.01785714,0.9464286,0.5,2,0.05333333,0,0.001984127,0.25,0.07412587,0.3333333,0.6666667,1.277441E-05,0,1.25991E-06,3.328795E-06,4.991924E-05
