TimeOffset,UpdateTime,ParentName,ParentConfirmedCount,ParentSuspectedCount,ParentCuredCount,ParentDeadCount,ParentTreatingCount,ParentCuredRate,ParentDeadRate,ParentTreatingRate,ParentDeadDivideCured,ParentCuredDivideDead,ParentConfirmedNorm,ParentSuspectedNorm,ParentCuredNorm,ParentDeadNorm,ParentTreatingNorm,ParentDeadRateEx,ParentCuredRateEx,ParentTatalConfirmedNorm,ParentTatalSuspectedNorm,ParentTatalCuredNorm,ParentTatalDeadNorm,ParentTatalTreatingNorm
70.2905,"2020-04-03 06:58:19",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
70.29119,"2020-04-03 06:59:19",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
70.41769,"2020-04-03 10:01:29",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
70.53426,"2020-04-03 12:49:20",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
70.60105,"2020-04-03 14:25:31",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
70.89816,"2020-04-03 21:33:21",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
71.54665,"2020-04-04 13:07:11",马拉维,3,0,0,0,3,0,0,1,,,0.09090909,,0,0,0.1111111,,,1.045465E-06,0,0,0,3.977171E-06
71.89455,"2020-04-04 21:28:09",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
72.33495,"2020-04-05 08:02:19",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
72.41787,"2020-04-05 10:01:44",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
72.51209,"2020-04-05 12:17:25",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
72.59926,"2020-04-05 14:22:56",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
72.80451,"2020-04-05 19:18:30",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
73.43155,"2020-04-06 10:21:26",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
73.51175,"2020-04-06 12:16:55",马拉维,4,0,0,0,4,0,0,1,,,0.1212121,,0,0,0.1481481,,,1.393953E-06,0,0,0,5.302895E-06
73.97748,"2020-04-06 23:27:34",马拉维,5,0,0,0,5,0,0,1,,,0.1515152,,0,0,0.1851852,,,1.742441E-06,0,0,0,6.628618E-06
74.31978,"2020-04-07 07:40:29",马拉维,5,0,0,0,5,0,0,1,,,0.1515152,,0,0,0.1851852,,,1.742441E-06,0,0,0,6.628618E-06
