TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
129.3404,"2020-06-01 08:10:08",内蒙古,乌兰察布,3,0,3,0,0,1,0,0,0,,0.01276596,0,0.01449275,0,0,1,,1,,0,0,1,5.959476E-05,0,6.456056E-05,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,乌海,2,0,2,0,0,1,0,0,0,,0.008510638,0,0.009661836,0,0,1,,1,,0,0,1,3.972984E-05,0,4.304037E-05,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,兴安盟,1,0,1,0,0,1,0,0,0,,0.004255319,0,0.004830918,0,0,1,,1,,0,0,1,1.986492E-05,0,2.152019E-05,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,包头,11,0,11,0,0,1,0,0,0,,0.04680851,0,0.0531401,0,0,1,,1,,0,0,1,0.0002185141,0,0.000236722,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,呼伦贝尔,9,0,9,0,0,1,0,0,0,,0.03829787,0,0.04347826,0,0,1,,1,,0,0,1,0.0001787843,0,0.0001936817,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,呼和浩特,7,0,7,0,0,1,0,0,0,,0.02978723,0,0.03381642,0,0,1,,1,,0,0,1,0.0001390544,0,0.0001506413,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,境外输入人员,158,34,131,0,27,0.8291139,0,0.1708861,0,,0.6723405,1,0.6328502,0,1,1,1,1,,0.254717,0,1,0.003138657,0.0880829,0.002819144,0,0.0007103955
129.3404,"2020-06-01 08:10:08",内蒙古,巴彦淖尔,8,0,7,1,0,0.875,0.125,0,0.1428571,7,0.03404255,0,0.03381642,1,0,1,,1,1,0,0.125,0.875,0.0001589193,0,0.0001506413,0.0002584647,0
129.3404,"2020-06-01 08:10:08",内蒙古,赤峰,9,0,9,0,0,1,0,0,0,,0.03829787,0,0.04347826,0,0,1,,1,,0,0,1,0.0001787843,0,0.0001936817,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,通辽,7,0,7,0,0,1,0,0,0,,0.02978723,0,0.03381642,0,0,1,,1,,0,0,1,0.0001390544,0,0.0001506413,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,鄂尔多斯,11,0,11,0,0,1,0,0,0,,0.04680851,0,0.0531401,0,0,1,,1,,0,0,1,0.0002185141,0,0.000236722,0,0
129.3404,"2020-06-01 08:10:08",内蒙古,锡林郭勒盟,9,0,9,0,0,1,0,0,0,,0.03829787,0,0.04347826,0,0,1,,1,,0,0,1,0.0001787843,0,0.0001936817,0,0
4.655197,"2020-01-28 15:43:29",内蒙古,兴安盟乌兰浩特,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,呼伦贝尔满洲里,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,呼伦贝尔牙克石,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,赤峰市松山区,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,赤峰市林西县,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,鄂尔多斯东胜,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,鄂尔多斯鄂托克前旗,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,锡林郭勒盟二连浩特,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.655197,"2020-01-28 15:43:29",内蒙古,锡林郭勒盟锡林浩特,1,0,0,0,1,0,0,1,,,0.06666667,,,,0.06666667,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
4.402327,"2020-01-28 09:39:21",内蒙古,包头市昆都仑,3,0,0,0,3,0,0,1,,,0.2307692,,,,0.2307692,1,,,,1,,,5.959476E-05,0,0,0,7.893283E-05
3.4086,"2020-01-27 09:48:23",内蒙古,包头市东河,2,0,0,0,2,0,0,1,,,0.1818182,,,,0.1818182,1,,,,1,,,3.972984E-05,0,0,0,5.262189E-05
3.407905,"2020-01-27 09:47:23",内蒙古,满洲里,1,0,0,0,1,0,0,1,,,0.09090909,,,,0.09090909,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
1.920023,"2020-01-25 22:04:50",内蒙古,锡林郭勒,2,0,0,0,2,0,0,1,,,0.2857143,,,,0.2857143,1,,,,1,,,3.972984E-05,0,0,0,5.262189E-05
