TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
82.38395,"2020-04-15 09:12:53",北京,东城,14,0,1,0,13,0.07142857,0,0.9285714,0,,0.02372881,0,0.002020202,0,0.1494253,1,,1,,1,0,1,0.0002799552,0,2.11815E-05,0,0.0003420422
82.38395,"2020-04-15 09:12:53",北京,丰台,43,0,3,0,40,0.06976745,0,0.9302326,0,,0.07288136,0,0.006060606,0,0.4597701,1,,1,,1,0,1,0.0008598624,0,6.354451E-05,0,0.001052438
82.38395,"2020-04-15 09:12:53",北京,境外输入,174,3,91,0,83,0.5229885,0,0.4770115,0,,0.2949153,0.01829268,0.1838384,0,0.954023,1,1,1,,0.5724138,0,1,0.003479443,0.0882353,0.001927517,0,0.002183808
82.38395,"2020-04-15 09:12:53",北京,外地来京,25,0,2,0,23,0.08,0,0.92,0,,0.04237288,0,0.004040404,0,0.2643678,1,,1,,1,0,1,0.00049992,0,4.236301E-05,0,0.0006051517
82.38395,"2020-04-15 09:12:53",北京,大兴,39,0,16,0,23,0.4102564,0,0.5897436,0,,0.06610169,0,0.03232323,0,0.2643678,1,,1,,0.6216216,0,1,0.0007798752,0,0.0003389041,0,0.0006051517
82.38395,"2020-04-15 09:12:53",北京,密云,7,0,0,0,7,0,0,1,,,0.01186441,0,0,0,0.08045977,1,,,,1,,,0.0001399776,0,0,0,0.0001841766
82.38395,"2020-04-15 09:12:53",北京,延庆,1,0,0,0,1,0,0,1,,,0.001694915,0,0,0,0.01149425,1,,,,1,,,1.99968E-05,0,0,0,2.631094E-05
82.38395,"2020-04-15 09:12:53",北京,待明确地区,0,0,347,8,,,,,0.02305475,43.375,0,0,0.7010101,1,,,,1,1,,0.02253521,0.9774648,0,0,0.007349982,0.003101978,
82.38395,"2020-04-15 09:12:53",北京,怀柔,7,0,0,0,7,0,0,1,,,0.01186441,0,0,0,0.08045977,1,,,,1,,,0.0001399776,0,0,0,0.0001841766
82.38395,"2020-04-15 09:12:53",北京,房山,16,0,3,0,13,0.1875,0,0.8125,0,,0.02711864,0,0.006060606,0,0.1494253,1,,1,,0.8666667,0,1,0.0003199488,0,6.354451E-05,0,0.0003420422
82.38395,"2020-04-15 09:12:53",北京,昌平,29,0,10,0,19,0.3448276,0,0.6551724,0,,0.04915254,0,0.02020202,0,0.2183908,1,,1,,0.6551724,0,1,0.0005799072,0,0.000211815,0,0.0004999079
82.38395,"2020-04-15 09:12:53",北京,朝阳,72,0,0,0,72,0,0,1,,,0.1220339,0,0,0,0.8275862,1,,,,1,,,0.00143977,0,0,0,0.001894388
82.38395,"2020-04-15 09:12:53",北京,海淀,64,0,0,0,64,0,0,1,,,0.1084746,0,0,0,0.7356322,1,,,,1,,,0.001279795,0,0,0,0.0016839
82.38395,"2020-04-15 09:12:53",北京,石景山,14,0,9,0,5,0.6428571,0,0.3571429,0,,0.02372881,0,0.01818182,0,0.05747126,1,,1,,0.3571429,0,1,0.0002799552,0,0.0001906335,0,0.0001315547
82.38395,"2020-04-15 09:12:53",北京,西城,53,0,0,0,53,0,0,1,,,0.08983051,0,0,0,0.6091954,1,,,,1,,,0.00105983,0,0,0,0.00139448
82.38395,"2020-04-15 09:12:53",北京,通州,19,0,1,0,18,0.05263158,0,0.9473684,0,,0.03220339,0,0.002020202,0,0.2068966,1,,1,,1,0,1,0.0003799392,0,2.11815E-05,0,0.000473597
82.38395,"2020-04-15 09:12:53",北京,门头沟,3,0,2,0,1,0.6666667,0,0.3333333,0,,0.005084746,0,0.004040404,0,0.01149425,1,,1,,0.3333333,0,1,5.99904E-05,0,4.236301E-05,0,2.631094E-05
82.38395,"2020-04-15 09:12:53",北京,顺义,10,0,10,0,0,1,0,0,0,,0.01694915,0,0.02020202,0,0,1,,1,,0,0,1,0.000199968,0,0.000211815,0,0
60.63916,"2020-03-24 15:20:23",北京,境外输入人员,142,0,9,0,133,0.06338028,0,0.9366197,0,,0.2544803,,0.02244389,0,0.8926175,1,,1,,1,0,1,0.002839546,0,0.0001906335,0,0.003499355
60.50641,"2020-03-24 12:09:14",北京,外地来人员,25,0,2,0,23,0.08,0,0.92,0,,0.04512635,,0.004987531,0,0.1586207,1,,1,,0.9583333,0,1,0.00049992,0,4.236301E-05,0,0.0006051517
