TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
48.87123,"2020-03-12 20:54:34.585",吉林,公主岭,6,0,6,0,0,1,0,0,0,,0.06451613,,0.06521739,0,,1,,1,,0,,,0.0001199928,,0.0001561199,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,吉林,5,0,5,0,0,1,0,0,0,,0.05376344,,0.05434782,0,,1,,1,,0,,,9.9994E-05,,0.0001300999,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,四平,15,0,14,1,0,0.9333333,0.06666667,0,0.07142857,14,0.1612903,,0.1521739,1,,1,,1,1,0,0,1,0.000299982,,0.0003642798,0.0004050223,0
48.87123,"2020-03-12 20:54:34.585",吉林,延边,5,0,5,0,0,1,0,0,0,,0.05376344,,0.05434782,0,,1,,1,,0,,,9.9994E-05,,0.0001300999,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,松原,2,0,2,0,0,1,0,0,0,,0.02150538,,0.02173913,0,,1,,1,,0,,,3.99976E-05,,5.203997E-05,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,梅河口,1,0,1,0,0,1,0,0,0,,0.01075269,,0.01086957,0,,1,,1,,0,,,1.99988E-05,,2.601998E-05,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,白城,1,0,1,0,0,1,0,0,0,,0.01075269,,0.01086957,0,,1,,1,,0,,,1.99988E-05,,2.601998E-05,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,辽源,7,0,7,0,0,1,0,0,0,,0.07526882,,0.07608695,0,,1,,1,,0,,,0.0001399916,,0.0001821399,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,通化,6,0,6,0,0,1,0,0,0,,0.06451613,,0.06521739,0,,1,,1,,0,,,0.0001199928,,0.0001561199,0,0
48.87123,"2020-03-12 20:54:34.585",吉林,长春,45,0,45,0,0,1,0,0,0,,0.483871,,0.4891304,0,,1,,1,,0,,,0.000899946,,0.001170899,0,0
