TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
89.36504,"2020-04-22 08:45:39",四川,乐山,3,0,3,0,0,1,0,0,0,,0.005347594,0,0.005395683,0,0,1,,1,,0,0,1,5.960304E-05,0,6.470817E-05,0,0
89.36504,"2020-04-22 08:45:39",四川,内江,22,0,22,0,0,1,0,0,0,,0.03921569,0,0.03956835,0,0,1,,1,,0,0,1,0.000437089,0,0.0004745265,0,0
89.36504,"2020-04-22 08:45:39",四川,凉山,13,0,13,0,0,1,0,0,0,,0.02317291,0,0.02338129,0,0,1,,1,,0,0,1,0.0002582798,0,0.000280402,0,0
89.36504,"2020-04-22 08:45:39",四川,南充,39,0,39,0,0,1,0,0,0,,0.06951872,0,0.07014389,0,0,1,,1,,0,0,1,0.0007748395,0,0.0008412062,0,0
89.36504,"2020-04-22 08:45:39",四川,宜宾,12,0,12,0,0,1,0,0,0,,0.02139037,0,0.02158273,0,0,1,,1,,0,0,1,0.0002384122,0,0.0002588327,0,0
89.36504,"2020-04-22 08:45:39",四川,巴中,24,0,24,0,0,1,0,0,0,,0.04278075,0,0.04316547,0,0,1,,1,,0,0,1,0.0004768244,0,0.0005176654,0,0
89.36504,"2020-04-22 08:45:39",四川,广元,6,0,6,0,0,1,0,0,0,,0.01069519,0,0.01079137,0,0,1,,1,,0,0,1,0.0001192061,0,0.0001294163,0,0
89.36504,"2020-04-22 08:45:39",四川,广安,30,0,30,0,0,1,0,0,0,,0.05347594,0,0.05395683,0,0,1,,1,,0,0,1,0.0005960304,0,0.0006470816,0,0
89.36504,"2020-04-22 08:45:39",四川,德阳,18,0,18,0,0,1,0,0,0,,0.03208556,0,0.0323741,0,0,1,,1,,0,0,1,0.0003576183,0,0.000388249,0,0
89.36504,"2020-04-22 08:45:39",四川,成都,166,13,161,3,2,0.9698795,0.01807229,0.01204819,0.01863354,53.66667,0.2959002,1,0.2895683,1,1,1,1,1,1,0.0212766,0.01829268,0.9817073,0.003298035,0.3823529,0.003472672,0.0007753941,5.262189E-05
89.36504,"2020-04-22 08:45:39",四川,攀枝花,16,0,16,0,0,1,0,0,0,,0.0285205,0,0.02877698,0,0,1,,1,,0,0,1,0.0003178829,0,0.0003451102,0,0
89.36504,"2020-04-22 08:45:39",四川,泸州,24,0,24,0,0,1,0,0,0,,0.04278075,0,0.04316547,0,0,1,,1,,0,0,1,0.0004768244,0,0.0005176654,0,0
89.36504,"2020-04-22 08:45:39",四川,甘孜,78,0,78,0,0,1,0,0,0,,0.1390374,0,0.1402878,0,0,1,,1,,0,0,1,0.001549679,0,0.001682412,0,0
89.36504,"2020-04-22 08:45:39",四川,眉山,8,0,8,0,0,1,0,0,0,,0.01426025,0,0.01438849,0,0,1,,1,,0,0,1,0.0001589414,0,0.0001725551,0,0
89.36504,"2020-04-22 08:45:39",四川,绵阳,22,0,22,0,0,1,0,0,0,,0.03921569,0,0.03956835,0,0,1,,1,,0,0,1,0.000437089,0,0.0004745265,0,0
89.36504,"2020-04-22 08:45:39",四川,自贡,9,0,9,0,0,1,0,0,0,,0.01604278,0,0.01618705,0,0,1,,1,,0,0,1,0.0001788091,0,0.0001941245,0,0
89.36504,"2020-04-22 08:45:39",四川,资阳,4,0,4,0,0,1,0,0,0,,0.007130125,0,0.007194245,0,0,1,,1,,0,0,1,7.947072E-05,0,8.627756E-05,0,0
89.36504,"2020-04-22 08:45:39",四川,达州,42,0,42,0,0,1,0,0,0,,0.07486631,0,0.07553957,0,0,1,,1,,0,0,1,0.0008344426,0,0.0009059143,0,0
89.36504,"2020-04-22 08:45:39",四川,遂宁,17,0,17,0,0,1,0,0,0,,0.03030303,0,0.03057554,0,0,1,,1,,0,0,1,0.0003377506,0,0.0003666796,0,0
89.36504,"2020-04-22 08:45:39",四川,阿坝,1,0,1,0,0,1,0,0,0,,0.001782531,0,0.001798561,0,0,1,,1,,0,0,1,1.986768E-05,0,2.156939E-05,0,0
89.36504,"2020-04-22 08:45:39",四川,雅安,7,0,7,0,0,1,0,0,0,,0.01247772,0,0.01258993,0,0,1,,1,,0,0,1,0.0001390738,0,0.0001509857,0,0
65.40905,"2020-03-29 09:49:02",四川,境外输入,2,0,0,0,2,0,0,1,,,0.003636364,0,0,0,0.1818182,1,,,,1,,,3.973536E-05,0,0,0,5.262189E-05
27.73995,"2020-02-20 17:45:32",四川,待明确地区,0,0,0,2,,,,,,0,0,,0,0.6666667,,,,,1,,1,0,0,0,0,0.0005169294,
