TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
80.73369,"2020-04-13 17:36:31",山东,临沂,49,0,49,0,0,1,0,0,0,,0.0625,0,0.0646438,0,0,1,,1,,0,0,1,0.0009798432,0,0.001038444,0,0
80.73369,"2020-04-13 17:36:31",山东,境外输入,23,14,6,0,17,0.2608696,0,0.7391304,0,,0.02933674,1,0.007915568,0,0.8947368,1,1,1,,0.8947368,0,1,0.0004599264,0.4117647,0.0001271564,0,0.000447286
80.73369,"2020-04-13 17:36:31",山东,威海,38,0,37,1,0,0.9736842,0.02631579,0,0.02702703,37,0.04846939,0,0.04881267,0.1428571,0,1,,1,1,0,0.02631579,0.9736842,0.0007598784,0,0.0007841309,0.0003877472,0
80.73369,"2020-04-13 17:36:31",山东,德州,37,0,35,2,0,0.9459459,0.05405406,0,0.05714286,17.5,0.04719388,0,0.04617414,0.2857143,0,1,,1,1,0,0.05405406,0.9459459,0.0007398816,0,0.0007417455,0.0007754944,0
80.73369,"2020-04-13 17:36:31",山东,日照,16,0,16,0,0,1,0,0,0,,0.02040816,0,0.02110818,0,0,1,,1,,0,0,1,0.0003199488,0,0.0003390836,0,0
80.73369,"2020-04-13 17:36:31",山东,枣庄,24,0,24,0,0,1,0,0,0,,0.03061225,0,0.03166227,0,0,1,,1,,0,0,1,0.0004799232,0,0.0005086255,0,0
80.73369,"2020-04-13 17:36:31",山东,泰安,35,0,33,2,0,0.9428571,0.05714286,0,0.06060606,16.5,0.04464286,0,0.04353562,0.2857143,0,1,,1,1,0,0.05714286,0.9428571,0.000699888,0,0.00069936,0.0007754944,0
80.73369,"2020-04-13 17:36:31",山东,济南,47,0,47,0,0,1,0,0,0,,0.05994898,0,0.06200528,0,0,1,,1,,0,0,1,0.0009398496,0,0.0009960581,0,0
80.73369,"2020-04-13 17:36:31",山东,济宁,260,0,260,0,0,1,0,0,0,,0.3316326,0,0.3430079,0,0,1,,1,,0,0,1,0.005199168,0,0.005510109,0,0
80.73369,"2020-04-13 17:36:31",山东,淄博,30,0,29,1,0,0.9666666,0.03333334,0,0.03448276,29,0.03826531,0,0.03825857,0.1428571,0,1,,1,1,0,0.03333334,0.9666666,0.000599904,0,0.0006145891,0.0003877472,0
80.73369,"2020-04-13 17:36:31",山东,滨州,15,0,15,0,0,1,0,0,0,,0.01913265,0,0.01978892,0,0,1,,1,,0,0,1,0.000299952,0,0.0003178909,0,0
80.73369,"2020-04-13 17:36:31",山东,潍坊,44,0,44,0,0,1,0,0,0,,0.05612245,0,0.05804749,0,0,1,,1,,0,0,1,0.0008798592,0,0.00093248,0,0
80.73369,"2020-04-13 17:36:31",山东,烟台,47,0,47,0,0,1,0,0,0,,0.05994898,0,0.06200528,0,0,1,,1,,0,0,1,0.0009398496,0,0.0009960581,0,0
80.73369,"2020-04-13 17:36:31",山东,聊城,38,0,38,0,0,1,0,0,0,,0.04846939,0,0.05013192,0,0,1,,1,,0,0,1,0.0007598784,0,0.0008053236,0,0
80.73369,"2020-04-13 17:36:31",山东,菏泽,18,0,18,0,0,1,0,0,0,,0.02295918,0,0.0237467,0,0,1,,1,,0,0,1,0.0003599424,0,0.0003814691,0,0
80.73369,"2020-04-13 17:36:31",山东,青岛,63,0,60,1,2,0.952381,0.01587302,0.03174603,0.01666667,60,0.08035714,0,0.07915568,0.1428571,0.1052632,1,,1,1,0.04651163,0.01639344,0.9836066,0.001259798,0,0.001271564,0.0003877472,5.262189E-05
76.36169,"2020-04-09 08:40:50",山东,待明确地区,2,0,0,0,2,0,0,1,,,0.002554278,0,0,0,0.1,1,,,,1,,,3.99936E-05,0,0,0,5.262189E-05
59.76823,"2020-03-23 18:26:15",山东,境外输入人员,9,0,0,0,9,0,0,1,,,0.01171875,,0,0,1,1,,,,1,,,0.0001799712,0,0,0,0.0002367985
28.43646,"2020-02-21 10:28:30",山东,任城监狱,200,0,0,0,200,0,0,1,,,0.2673797,,0,0,0.4219409,1,,,,1,,,0.00399936,0,0,0,0.005262189
