TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
82.35284,"2020-04-15 08:28:05",山西,临汾,2,0,2,0,0,1,0,0,0,,0.01075269,0,0.01481481,,0,1,,1,,0,0,1,3.99936E-05,0,4.236301E-05,0,0
82.35284,"2020-04-15 08:28:05",山西,吕梁,6,0,6,0,0,1,0,0,0,,0.03225806,0,0.04444445,,0,1,,1,,0,0,1,0.0001199808,0,0.000127089,0,0
82.35284,"2020-04-15 08:28:05",山西,境外输入,53,18,2,0,51,0.03773585,0,0.9622642,0,,0.2849462,1,0.01481481,,1,1,1,1,,1,0,1,0.00105983,0.5294118,4.236301E-05,0,0.001341858
82.35284,"2020-04-15 08:28:05",山西,大同,12,0,12,0,0,1,0,0,0,,0.06451613,0,0.08888889,,0,1,,1,,0,0,1,0.0002399616,0,0.000254178,0,0
82.35284,"2020-04-15 08:28:05",山西,太原,20,0,20,0,0,1,0,0,0,,0.1075269,0,0.1481481,,0,1,,1,,0,0,1,0.000399936,0,0.0004236301,0,0
82.35284,"2020-04-15 08:28:05",山西,忻州,7,0,7,0,0,1,0,0,0,,0.03763441,0,0.05185185,,0,1,,1,,0,0,1,0.0001399776,0,0.0001482705,0,0
82.35284,"2020-04-15 08:28:05",山西,晋中,37,0,37,0,0,1,0,0,0,,0.1989247,0,0.2740741,,0,1,,1,,0,0,1,0.0007398816,0,0.0007837157,0,0
82.35284,"2020-04-15 08:28:05",山西,晋城,10,0,10,0,0,1,0,0,0,,0.05376344,0,0.07407407,,0,1,,1,,0,0,1,0.000199968,0,0.000211815,0,0
82.35284,"2020-04-15 08:28:05",山西,朔州,8,0,8,0,0,1,0,0,0,,0.04301075,0,0.05925926,,0,1,,1,,0,0,1,0.0001599744,0,0.000169452,0,0
82.35284,"2020-04-15 08:28:05",山西,运城,19,0,19,0,0,1,0,0,0,,0.1021505,0,0.1407407,,0,1,,1,,0,0,1,0.0003799392,0,0.0004024486,0,0
82.35284,"2020-04-15 08:28:05",山西,长治,8,0,8,0,0,1,0,0,0,,0.04301075,0,0.05925926,,0,1,,1,,0,0,1,0.0001599744,0,0.000169452,0,0
82.35284,"2020-04-15 08:28:05",山西,阳泉,4,0,4,0,0,1,0,0,0,,0.02150538,0,0.02962963,,0,1,,1,,0,0,1,7.99872E-05,0,8.472602E-05,0,0
60.30952,"2020-03-24 07:25:43",山西,境外输入人员,1,0,0,0,1,0,0,1,,,0.007462686,,0,,1,1,,,,1,,,1.99968E-05,0,0,0,2.631094E-05
