TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
80.73369,"2020-04-13 17:36:31",广东,东莞,100,0,99,1,0,0.99,0.01,0,0.01010101,99,0.06430868,0,0.06808803,0.125,0,1,,1,1,0,0.01,0.99,0.00199968,0,0.00209808,0.0003877472,0
80.73369,"2020-04-13 17:36:31",广东,中山,68,0,68,0,0,1,0,0,0,,0.04372991,0,0.04676754,0,0,1,,1,,0,0,1,0.001359782,0,0.001441105,0,0
80.73369,"2020-04-13 17:36:31",广东,佛山,96,1,84,0,12,0.875,0,0.125,0,,0.06173633,0.09090909,0.05777166,0,0.1290323,1,1,1,,0.1818182,0,1,0.001919693,0.02941176,0.001780189,0,0.0003157313
80.73369,"2020-04-13 17:36:31",广东,广州,482,6,401,1,80,0.8319502,0.002074689,0.1659751,0.002493766,401,0.3099678,0.5454546,0.2757909,0.125,0.8602151,1,1,1,1,0.2797203,0.002487562,0.9975125,0.009638458,0.1764706,0.008498283,0.0003877472,0.002104875
80.73369,"2020-04-13 17:36:31",广东,待明确地区,0,0,52,0,,,,,0,,0,0,0.03576341,0,,,,1,,,0,1,0,0,0.001102022,0,
80.73369,"2020-04-13 17:36:31",广东,惠州,62,0,62,0,0,1,0,0,0,,0.03987138,0,0.04264099,0,0,1,,1,,0,0,1,0.001239802,0,0.001313949,0,0
80.73369,"2020-04-13 17:36:31",广东,揭阳,11,0,8,0,3,0.7272727,0,0.2727273,0,,0.007073955,0,0.005502063,0,0.03225806,1,,1,,0.4285714,0,1,0.0002199648,0,0.0001695418,0,7.893283E-05
80.73369,"2020-04-13 17:36:31",广东,梅州,17,0,16,0,1,0.9411765,0,0.05882353,0,,0.01093248,0,0.01100413,0,0.01075269,1,,1,,0.08333334,0,1,0.0003399456,0,0.0003390836,0,2.631094E-05
80.73369,"2020-04-13 17:36:31",广东,汕头,26,0,25,0,1,0.9615384,0,0.03846154,0,,0.01672026,0,0.01719395,0,0.01075269,1,,1,,0.04545455,0,1,0.0005199168,0,0.0005298182,0,2.631094E-05
80.73369,"2020-04-13 17:36:31",广东,汕尾,5,0,5,0,0,1,0,0,0,,0.003215434,0,0.00343879,0,0,1,,1,,0,0,1,9.9984E-05,0,0.0001059636,0,0
80.73369,"2020-04-13 17:36:31",广东,江门,24,0,23,0,1,0.9583333,0,0.04166667,0,,0.01543408,0,0.01581843,0,0.01075269,1,,1,,0.05,0,1,0.0004799232,0,0.0004874327,0,2.631094E-05
80.73369,"2020-04-13 17:36:31",广东,河源,5,0,4,0,1,0.8,0,0.2,0,,0.003215434,0,0.002751032,0,0.01075269,1,,1,,0.3333333,0,1,9.9984E-05,0,8.477091E-05,0,2.631094E-05
