TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
115.3716,"2020-05-18 08:55:07",河北,保定,32,0,32,0,0,1,0,0,0,,0.09756097,,0.09937888,0,,1,,1,,0,0,1,0.0006356774,0,0.0006886756,0,0
115.3716,"2020-05-18 08:55:07",河北,唐山,58,0,57,1,0,0.9827586,0.01724138,0,0.01754386,57,0.1768293,,0.1770186,0.1666667,,1,,1,1,0,0.01724138,0.9827586,0.001152165,0,0.001226703,0.0002584647,0
115.3716,"2020-05-18 08:55:07",河北,境外输入,10,0,10,0,0,1,0,0,0,,0.03048781,,0.0310559,0,,1,,1,,0,0,1,0.0001986492,0,0.0002152111,0,0
115.3716,"2020-05-18 08:55:07",河北,廊坊,30,0,30,0,0,1,0,0,0,,0.09146342,,0.0931677,0,,1,,1,,0,0,1,0.0005959476,0,0.0006456334,0,0
115.3716,"2020-05-18 08:55:07",河北,张家口,41,0,41,0,0,1,0,0,0,,0.125,,0.1273292,0,,1,,1,,0,0,1,0.0008144617,0,0.0008823656,0,0
115.3716,"2020-05-18 08:55:07",河北,承德,7,0,7,0,0,1,0,0,0,,0.02134146,,0.02173913,0,,1,,1,,0,0,1,0.0001390544,0,0.0001506478,0,0
115.3716,"2020-05-18 08:55:07",河北,沧州,48,0,45,3,0,0.9375,0.0625,0,0.06666667,15,0.1463415,,0.1397516,0.5,,1,,1,1,0,0.0625,0.9375,0.0009535161,0,0.00096845,0.0007753941,0
115.3716,"2020-05-18 08:55:07",河北,石家庄,29,0,29,0,0,1,0,0,0,,0.08841463,,0.09006211,0,,1,,1,,0,0,1,0.0005760826,0,0.0006241123,0,0
115.3716,"2020-05-18 08:55:07",河北,秦皇岛,10,0,9,1,0,0.9,0.1,0,0.1111111,9,0.03048781,,0.02795031,0.1666667,,1,,1,1,0,0.1,0.9,0.0001986492,0,0.00019369,0.0002584647,0
115.3716,"2020-05-18 08:55:07",河北,衡水,8,0,8,0,0,1,0,0,0,,0.02439024,,0.02484472,0,,1,,1,,0,0,1,0.0001589193,0,0.0001721689,0,0
115.3716,"2020-05-18 08:55:07",河北,邢台,23,0,22,1,0,0.9565217,0.04347826,0,0.04545455,22,0.07012195,,0.06832298,0.1666667,,1,,1,1,0,0.04347826,0.9565217,0.0004568931,0,0.0004734645,0.0002584647,0
115.3716,"2020-05-18 08:55:07",河北,邯郸,32,0,32,0,0,1,0,0,0,,0.09756097,,0.09937888,0,,1,,1,,0,0,1,0.0006356774,0,0.0006886756,0,0
59.41221,"2020-03-23 09:53:35",河北,境外输入人员,1,0,0,0,1,0,0,1,,,0.003134796,,0,0,0.3333333,1,,,,1,,,1.986492E-05,0,0,0,2.631094E-05
