TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
81.36385,"2020-04-14 08:43:57",河南,三门峡,7,0,6,1,0,0.8571429,0.1428571,0,0.1666667,6,0.005485893,,0.004784689,0.04545455,,1,,1,1,0,0.1428571,0.8571429,0.0001390544,0,0.0001291239,0.0002584647,0
81.36385,"2020-04-14 08:43:57",河南,信阳,274,0,272,2,0,0.9927008,0.00729927,0,0.007352941,136,0.2147335,,0.2169059,0.09090909,,1,,1,1,0,0.00729927,0.9927008,0.005442988,0,0.005853617,0.0005169294,0
81.36385,"2020-04-14 08:43:57",河南,南阳,156,0,153,3,0,0.9807692,0.01923077,0,0.01960784,51,0.1222571,,0.1220096,0.1363636,,1,,1,1,0,0.01923077,0.9807692,0.003098927,0,0.003292659,0.0007753941,0
81.36385,"2020-04-14 08:43:57",河南,周口,76,0,75,1,0,0.9868421,0.01315789,0,0.01333333,75,0.05956113,,0.05980861,0.04545455,,1,,1,1,0,0.01315789,0.9868421,0.001509734,0,0.001614049,0.0002584647,0
81.36385,"2020-04-14 08:43:57",河南,商丘,91,0,88,3,0,0.967033,0.03296703,0,0.03409091,29.33333,0.07131661,,0.07017544,0.1363636,,1,,1,1,0,0.03296703,0.967033,0.001807708,0,0.001893817,0.0007753941,0
81.36385,"2020-04-14 08:43:57",河南,境外输入,3,0,3,0,0,1,0,0,0,,0.002351097,,0.002392344,0,,1,,1,,0,0,1,5.959476E-05,0,6.456194E-05,0,0
81.36385,"2020-04-14 08:43:57",河南,安阳,53,0,53,0,0,1,0,0,0,,0.04153605,,0.04226475,0,,1,,1,,0,0,1,0.001052841,0,0.001140594,0,0
81.36385,"2020-04-14 08:43:57",河南,平顶山,58,0,57,1,0,0.9827586,0.01724138,0,0.01754386,57,0.04545455,,0.04545455,0.04545455,,1,,1,1,0,0.01724138,0.9827586,0.001152165,0,0.001226677,0.0002584647,0
81.36385,"2020-04-14 08:43:57",河南,开封,26,0,26,0,0,1,0,0,0,,0.02037618,,0.02073365,0,,1,,1,,0,0,1,0.0005164879,0,0.0005595369,0,0
81.36385,"2020-04-14 08:43:57",河南,新乡,57,0,54,3,0,0.9473684,0.05263158,0,0.05555556,18,0.04467085,,0.0430622,0.1363636,,1,,1,1,0,0.05263158,0.9473684,0.0011323,0,0.001162115,0.0007753941,0
