TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
76.40674,"2020-04-09 09:45:42",浙江,丽水,17,0,17,0,0,1,0,0,0,,0.01341752,0,0.01376518,0,0,1,,1,,0,0,1,0.0003399456,0,0.0003608422,0,0
76.40674,"2020-04-09 09:45:42",浙江,台州,146,0,146,0,0,1,0,0,0,,0.1152328,0,0.1182186,0,0,1,,1,,0,0,1,0.002919533,0,0.003098998,0,0
76.40674,"2020-04-09 09:45:42",浙江,嘉兴,46,0,45,0,1,0.9782609,0,0.02173913,0,,0.03630624,0,0.03643725,0,0.03225806,1,,1,,0.02702703,0,1,0.0009198528,0,0.0009551707,0,2.631094E-05
76.40674,"2020-04-09 09:45:42",浙江,境外输入,49,1,19,0,30,0.3877551,0,0.6122449,0,,0.03867403,0.3333333,0.01538462,0,0.9677419,1,1,1,,0.9090909,0,1,0.0009798432,0.03571429,0.0004032943,0,0.0007893283
76.40674,"2020-04-09 09:45:42",浙江,宁波,157,0,157,0,0,1,0,0,0,,0.1239148,0,0.1271255,0,0,1,,1,,0,0,1,0.003139498,0,0.003332484,0,0
76.40674,"2020-04-09 09:45:42",浙江,杭州,181,0,181,0,0,1,0,0,0,,0.1428571,0,0.1465587,0,0,1,,1,,0,0,1,0.003619421,0,0.003841909,0,0
76.40674,"2020-04-09 09:45:42",浙江,温州,504,0,503,1,0,0.9980159,0.001984127,0,0.001988071,503,0.39779,0,0.4072874,1,0,1,,1,1,0,0.001984127,0.9980159,0.01007839,0,0.01067669,0.0003880481,0
76.40674,"2020-04-09 09:45:42",浙江,湖州,10,0,10,0,0,1,0,0,0,,0.00789266,0,0.008097166,0,0,1,,1,,0,0,1,0.000199968,0,0.0002122601,0,0
76.40674,"2020-04-09 09:45:42",浙江,省十里丰监狱,36,0,36,0,0,1,0,0,0,,0.02841358,0,0.0291498,0,0,1,,1,,0,0,1,0.0007198848,0,0.0007641366,0,0
76.40674,"2020-04-09 09:45:42",浙江,绍兴,42,0,42,0,0,1,0,0,0,,0.03314917,0,0.0340081,0,0,1,,1,,0,0,1,0.0008398657,0,0.0008914926,0,0
76.40674,"2020-04-09 09:45:42",浙江,舟山,10,0,10,0,0,1,0,0,0,,0.00789266,0,0.008097166,0,0,1,,1,,0,0,1,0.000199968,0,0.0002122601,0,0
76.40674,"2020-04-09 09:45:42",浙江,衢州,14,0,14,0,0,1,0,0,0,,0.01104972,0,0.01133603,0,0,1,,1,,0,0,1,0.0002799552,0,0.0002971642,0,0
76.40674,"2020-04-09 09:45:42",浙江,金华,55,0,55,0,0,1,0,0,0,,0.04340963,0,0.04453441,0,0,1,,1,,0,0,1,0.001099824,0,0.001167431,0,0
60.4798,"2020-03-24 11:30:55",浙江,境外输入人员,23,0,5,0,18,0.2173913,0,0.7826087,0,,0.01854839,,0.004095004,0,1,1,,1,,1,0,1,0.0004599264,0,0.0001061301,0,0.000473597
35.73864,"2020-02-28 17:43:38",浙江,待明确地区,0,0,6,0,,,,,0,,0,,0.006153846,0,,,,1,,,0,1,0,0,0.0001273561,0,
