TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
68.91706,"2020-04-01 22:00:34",甘肃,临夏,3,0,3,0,0,1,0,0,0,,0.02173913,,0.02362205,0,0,1,,1,,0,,,5.99916E-05,0,6.476684E-05,0,0
68.91706,"2020-04-01 22:00:34",甘肃,兰州,37,0,34,2,1,0.9189189,0.05405406,0.02702703,0.05882353,17,0.2681159,,0.2677165,1,0.1111111,1,,1,1,0.03703704,0.2941176,1,0.0007398964,0,0.0007340242,0.0007815553,2.631094E-05
68.91706,"2020-04-01 22:00:34",甘肃,境外输入,46,0,38,0,8,0.8260869,0,0.173913,0,,0.3333333,,0.2992126,0,0.8888889,1,,1,,0.5333334,,,0.0009198712,0,0.0008203799,0,0.0002104875
68.91706,"2020-04-01 22:00:34",甘肃,天水,12,0,12,0,0,1,0,0,0,,0.08695652,,0.09448819,0,0,1,,1,,0,,,0.0002399664,0,0.0002590674,0,0
68.91706,"2020-04-01 22:00:34",甘肃,定西,9,0,9,0,0,1,0,0,0,,0.06521739,,0.07086615,0,0,1,,1,,0,,,0.0001799748,0,0.0001943005,0,0
68.91706,"2020-04-01 22:00:34",甘肃,平凉,9,0,9,0,0,1,0,0,0,,0.06521739,,0.07086615,0,0,1,,1,,0,,,0.0001799748,0,0.0001943005,0,0
68.91706,"2020-04-01 22:00:34",甘肃,庆阳,3,0,3,0,0,1,0,0,0,,0.02173913,,0.02362205,0,0,1,,1,,0,,,5.99916E-05,0,6.476684E-05,0,0
68.91706,"2020-04-01 22:00:34",甘肃,张掖,2,0,2,0,0,1,0,0,0,,0.01449275,,0.01574803,0,0,1,,1,,0,,,3.99944E-05,0,4.317789E-05,0,0
68.91706,"2020-04-01 22:00:34",甘肃,甘南,8,0,8,0,0,1,0,0,0,,0.05797102,,0.06299213,0,0,1,,1,,0,,,0.0001599776,0,0.0001727116,0,0
68.91706,"2020-04-01 22:00:34",甘肃,白银,4,0,4,0,0,1,0,0,0,,0.02898551,,0.03149606,0,0,1,,1,,0,,,7.99888E-05,0,8.635579E-05,0,0
68.91706,"2020-04-01 22:00:34",甘肃,金昌,1,0,1,0,0,1,0,0,0,,0.007246377,,0.007874016,0,0,1,,1,,0,,,1.99972E-05,0,2.158895E-05,0,0
68.91706,"2020-04-01 22:00:34",甘肃,陇南,4,0,4,0,0,1,0,0,0,,0.02898551,,0.03149606,0,0,1,,1,,0,,,7.99888E-05,0,8.635579E-05,0,0
60.50641,"2020-03-24 12:09:14",甘肃,境外输入人员,45,0,29,0,16,0.6444445,0,0.3555556,0,,0.3308823,,0.2457627,0,1,1,,1,,0.3902439,,,0.000899874,0,0.0006260794,0,0.0004209751
45.92848,"2020-03-09 22:17:01",甘肃,待明确地区,0,0,1,0,,,,,0,,0,,0.01136364,0,,,,1,,,,,0,0,2.158895E-05,0,
