TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
80.73369,"2020-04-13 17:36:31",福建,三明,14,0,14,0,0,1,0,0,0,,0.03977273,0,0.04307692,0,0,1,,1,,0,0,1,0.0002799552,0,0.0002966982,0,0
80.73369,"2020-04-13 17:36:31",福建,南平,20,0,20,0,0,1,0,0,0,,0.05681818,0,0.06153846,0,0,1,,1,,0,0,1,0.000399936,0,0.0004238545,0,0
80.73369,"2020-04-13 17:36:31",福建,厦门,35,0,35,0,0,1,0,0,0,,0.09943182,0,0.1076923,0,0,1,,1,,0,0,1,0.000699888,0,0.0007417455,0,0
80.73369,"2020-04-13 17:36:31",福建,境外输入人员,56,1,30,0,26,0.5357143,0,0.4642857,0,,0.1590909,0.3333333,0.09230769,0,1,1,1,1,,0.5306122,0,1,0.001119821,0.02941176,0.0006357818,0,0.0006840845
80.73369,"2020-04-13 17:36:31",福建,宁德,26,0,26,0,0,1,0,0,0,,0.07386363,0,0.08,0,0,1,,1,,0,0,1,0.0005199168,0,0.0005510109,0,0
80.73369,"2020-04-13 17:36:31",福建,泉州,47,0,47,0,0,1,0,0,0,,0.1335227,0,0.1446154,0,0,1,,1,,0,0,1,0.0009398496,0,0.0009960581,0,0
80.73369,"2020-04-13 17:36:31",福建,漳州,20,0,20,0,0,1,0,0,0,,0.05681818,0,0.06153846,0,0,1,,1,,0,0,1,0.000399936,0,0.0004238545,0,0
80.73369,"2020-04-13 17:36:31",福建,福州,72,0,71,1,0,0.9861111,0.01388889,0,0.01408451,71,0.2045455,0,0.2184615,1,0,1,,1,1,0,0.01388889,0.9861111,0.00143977,0,0.001504684,0.0003877472,0
80.73369,"2020-04-13 17:36:31",福建,莆田,56,0,56,0,0,1,0,0,0,,0.1590909,0,0.1723077,0,0,1,,1,,0,0,1,0.001119821,0,0.001186793,0,0
80.73369,"2020-04-13 17:36:31",福建,龙岩,6,0,6,0,0,1,0,0,0,,0.01704546,0,0.01846154,0,0,1,,1,,0,0,1,0.0001199808,0,0.0001271564,0,0
42.38197,"2020-03-06 09:10:02",福建,待明确地区,0,0,1,0,,,,,0,,0,,0.003597122,0,,,,1,,,0,1,0,0,2.119273E-05,0,
