TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
39.85975,"2020-03-03 20:38:02.065",辽宁,丹东,11,0,7,0,4,0.6363636,0,0.3636364,0,,0.088,,0.06666667,0,0.2105263,1,,1,,0.5714286,,,0.0002225549,,0.0003034507,0,0.0001052438
39.85975,"2020-03-03 20:38:02.065",辽宁,大连,19,0,15,0,4,0.7894737,0,0.2105263,0,,0.152,,0.1428571,0,0.2105263,1,,1,,0.2857143,,,0.0003844131,,0.0006502515,0,0.0001052438
39.85975,"2020-03-03 20:38:02.065",辽宁,朝阳,6,0,4,0,2,0.6666667,0,0.3333333,0,,0.048,,0.03809524,0,0.1052632,1,,1,,0.3333333,,,0.0001213936,,0.0001734004,0,5.262189E-05
39.85975,"2020-03-03 20:38:02.065",辽宁,本溪,3,0,3,0,0,1,0,0,0,,0.024,,0.02857143,0,0,1,,1,,0,,,6.06968E-05,,0.0001300503,0,0
39.85975,"2020-03-03 20:38:02.065",辽宁,沈阳,28,0,25,0,3,0.8928571,0,0.1071429,0,,0.224,,0.2380952,0,0.1578947,1,,1,,0.1304348,,,0.0005665034,,0.001083752,0,7.893283E-05
39.85975,"2020-03-03 20:38:02.065",辽宁,盘锦,11,0,11,0,0,1,0,0,0,,0.088,,0.1047619,0,0,1,,1,,0,,,0.0002225549,,0.000476851,0,0
39.85975,"2020-03-03 20:38:02.065",辽宁,营口,1,0,1,0,0,1,0,0,0,,0.008,,0.00952381,0,0,1,,1,,0,,,2.023227E-05,,4.335009E-05,0,0
39.85975,"2020-03-03 20:38:02.065",辽宁,葫芦岛,12,0,7,1,4,0.5833333,0.08333334,0.3333333,0.1428571,7,0.096,,0.06666667,1,0.2105263,1,,1,1,0.3636364,0,1,0.0002427872,,0.0003034507,0.0004440497,0.0001052438
39.85975,"2020-03-03 20:38:02.065",辽宁,辽阳,3,0,3,0,0,1,0,0,0,,0.024,,0.02857143,0,0,1,,1,,0,,,6.06968E-05,,0.0001300503,0,0
39.85975,"2020-03-03 20:38:02.065",辽宁,铁岭,7,0,6,0,1,0.8571429,0,0.1428571,0,,0.056,,0.05714286,0,0.05263158,1,,1,,0.1666667,,,0.0001416259,,0.0002601006,0,2.631094E-05
39.85975,"2020-03-03 20:38:02.065",辽宁,锦州,12,0,12,0,0,1,0,0,0,,0.096,,0.1142857,0,0,1,,1,,0,,,0.0002427872,,0.0005202012,0,0
39.85975,"2020-03-03 20:38:02.065",辽宁,阜新,8,0,8,0,0,1,0,0,0,,0.064,,0.07619048,0,0,1,,1,,0,,,0.0001618581,,0.0003468007,0,0
39.85975,"2020-03-03 20:38:02.065",辽宁,鞍山,4,0,3,0,1,0.75,0,0.25,0,,0.032,,0.02857143,0,0.05263158,1,,1,,0.25,,,8.092907E-05,,0.0001300503,0,2.631094E-05
36.54778,"2020-02-29 13:08:48.516",辽宁,待明确地区,0,0,2,0,,,,,0,,0,,0.02105263,0,,,,1,,,,,0,,8.670019E-05,0,
