TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadRateEx,ChildCuredRateEx,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
93.34167,"2020-04-26 08:12:00",黑龙江,七台河,17,0,17,0,0,1,0,0,0,,0.01818182,0,0.0332681,0,0,1,,1,,0,0,1,0.0003377506,0,0.0003659692,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,伊春,1,0,1,0,0,1,0,0,0,,0.001069519,0,0.001956947,0,0,1,,1,,0,0,1,1.986768E-05,0,2.15276E-05,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,佳木斯,15,0,15,0,0,1,0,0,0,,0.01604278,0,0.02935421,0,0,1,,1,,0,0,1,0.0002980152,0,0.000322914,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,双鸭山,52,0,49,3,0,0.9423077,0.05769231,0,0.06122449,16.33333,0.05561497,0,0.09589041,0.2307692,0,1,,1,1,0,0.05769231,0.9423077,0.001033119,0,0.001054852,0.0007753941,0
93.34167,"2020-04-26 08:12:00",黑龙江,哈尔滨,259,8,195,4,60,0.7528958,0.01544402,0.2316602,0.02051282,48.75,0.2770053,0.02083333,0.3816047,0.3076923,0.1459854,1,1,1,1,0.3870968,0.0201005,0.9798995,0.00514573,0.2352941,0.004197882,0.001033859,0.001578657
93.34167,"2020-04-26 08:12:00",黑龙江,境外输入,386,34,41,0,345,0.1062176,0,0.8937824,0,,0.4128342,0.08854166,0.08023483,0,0.8394161,1,1,1,,0.9102902,0,1,0.007668925,1,0.0008826315,0,0.009077275
93.34167,"2020-04-26 08:12:00",黑龙江,大兴安岭,3,0,3,0,0,1,0,0,0,,0.003208556,0,0.005870841,0,0,1,,1,,0,0,1,5.960304E-05,0,6.45828E-05,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,大庆,27,0,25,1,1,0.9259259,0.03703704,0.03703704,0.04,25,0.028877,0,0.04892368,0.07692308,0.00243309,1,,1,1,0.05555556,0.03846154,0.9615384,0.0005364274,0,0.00053819,0.0002584647,2.631094E-05
93.34167,"2020-04-26 08:12:00",黑龙江,牡丹江,20,0,15,0,5,0.75,0,0.25,0,,0.02139037,0,0.02935421,0,0.01216545,1,,1,,0.3846154,0,1,0.0003973536,0,0.000322914,0,0.0001315547
93.34167,"2020-04-26 08:12:00",黑龙江,绥化,47,0,43,4,0,0.9148936,0.08510638,0,0.09302326,10.75,0.05026738,0,0.08414873,0.3076923,0,1,,1,1,0,0.08510638,0.9148936,0.000933781,0,0.0009256867,0.001033859,0
93.34167,"2020-04-26 08:12:00",黑龙江,鸡西,46,0,46,0,0,1,0,0,0,,0.04919786,0,0.09001957,0,0,1,,1,,0,0,1,0.0009139134,0,0.0009902695,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,鹤岗,5,0,5,0,0,1,0,0,0,,0.005347594,0,0.009784736,0,0,1,,1,,0,0,1,9.933841E-05,0,0.000107638,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,黑河,14,0,14,0,0,1,0,0,0,,0.01497326,0,0.02739726,0,0,1,,1,,0,0,1,0.0002781475,0,0.0003013864,0,0
93.34167,"2020-04-26 08:12:00",黑龙江,齐齐哈尔,43,0,42,1,0,0.9767442,0.02325581,0,0.02380952,42,0.0459893,0,0.08219178,0.07692308,0,1,,1,1,0,0.02325581,0.9767442,0.0008543103,0,0.0009041592,0.0002584647,0
60.34051,"2020-03-24 08:10:20",黑龙江,境外输入人员,2,0,0,0,2,0,0,1,,,0.004132231,,0,0,0.6666667,1,,,,1,,,3.973536E-05,0,0,0,5.262189E-05
45.92848,"2020-03-09 22:17:01",黑龙江,待明确地区,0,0,7,0,,,,,0,,0,,0.01627907,0,,,,1,,,0,1,0,0,0.0001506932,0,
